"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/BufferedWriter.java","call function: 29:4-29:33","call in function: drain@27-32","callee=java.io.Writer.write","basic block: 29:4-29:33"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/BufferedWriter.java","call function: 37:4-37:31","call in function: write@34-42","callee=java.io.Writer.write","basic block: 37:4-37:31"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 31:3-31:13","call in function: write@30-32","callee=java.io.OutputStream.write","basic block: 31:3-31:13"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 35:3-35:21","call in function: writeBoolean@34-36","callee=java.io.OutputStream.write","basic block: 35:3-35:21"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 39:3-39:13","call in function: writeByte@38-40","callee=java.io.OutputStream.write","basic block: 39:3-39:13"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 45:4-45:24","call in function: writeBytes@42-47","callee=java.io.OutputStream.write","basic block: 45:4-45:24"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 50:3-50:18","call in function: writeChar@49-52","callee=java.io.OutputStream.write","basic block: 50:3-50:18"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 51:3-51:13","call in function: writeChar@49-52","callee=java.io.OutputStream.write","basic block: 51:3-51:13"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 67:3-67:19","call in function: writeInt@66-71","callee=java.io.OutputStream.write","basic block: 67:3-67:19"
"Path: /home/sixsquare/codeQL/projects/libgdx/backends/gdx-backends-gwt/src/com/badlogic/gdx/backends/gwt/emu/java/io/DataOutputStream.java","call function: 68:3-68:19","call in function: writeInt@66-71","callee=java.io.OutputStream.write","basic block: 68:3-68:19"
