"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/qcode/QCodeService.java","call function: 36:43-36:67","call in function: createGrouponShareImage@31-54","callee=java.io.FileInputStream.<init>","basic block: 36:43-36:67"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/qcode/QCodeService.java","call function: 71:43-71:67","call in function: createGoodShareImage@64-89","callee=java.io.FileInputStream.<init>","basic block: 71:43-71:67"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/web/AdminStorageController.java","call function: 50:35-50:60","call in function: create@49-54","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 50:35-50:60"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 42:21-42:48","call in function: backup@30-57","callee=java.io.File.<init>","basic block: 42:21-42:48"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 51:27-51:60","call in function: backup@30-57","callee=java.io.File.<init>","basic block: 51:27-51:60"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 43:9-43:37","call in function: backup@30-57","callee=java.io.File.mkdirs","basic block: 43:9-43:37"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 44:9-44:28","call in function: backup@30-57","callee=java.io.File.createNewFile","basic block: 44:9-44:28"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 52:13-52:31","call in function: backup@30-57","callee=java.io.File.exists","basic block: 52:13-52:31"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-admin-api/src/main/java/org/linlinjava/litemall/admin/job/DbJob.java","call function: 53:13-53:31","call in function: backup@30-57","callee=java.io.File.delete","basic block: 53:13-53:31"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 38:29-38:50","call in function: setStoragePath@35-44","callee=java.nio.file.Paths.get","basic block: 38:29-38:50"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 40:13-40:49","call in function: setStoragePath@35-44","callee=java.nio.file.Files.createDirectories","basic block: 40:13-40:49"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 57:13-57:103","call in function: store@55-61","callee=java.nio.file.Files.copy","basic block: 57:13-57:103"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 57:37-57:65","call in function: store@55-61","callee=java.nio.file.Path.resolve","basic block: 57:37-57:65"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 66:20-66:46","call in function: loadAll@64-73","callee=java.nio.file.Files.walk","basic block: 66:20-66:46"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 68:34-68:62","call in function: apply@68-68","callee=java.nio.file.Path.relativize","basic block: 68:34-68:62"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 77:16-77:45","call in function: load@76-78","callee=java.nio.file.Path.resolve","basic block: 77:16-77:45"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-core/src/main/java/org/linlinjava/litemall/core/storage/LocalStorage.java","call function: 100:13-100:30","call in function: delete@97-104","callee=java.nio.file.Files.delete","basic block: 100:13-100:30"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-wx-api/src/main/java/org/linlinjava/litemall/wx/service/WxOrderService.java","call function: 731:25-731:98","call in function: payNotify@728-823","callee=org.apache.commons.io.IOUtils.toString","basic block: 731:25-731:98"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-wx-api/src/main/java/org/linlinjava/litemall/wx/web/WxStorageController.java","call function: 55:35-55:60","call in function: upload@54-58","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 55:35-55:60"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-db/src/main/java/org/linlinjava/litemall/db/util/DbUtil.java","call function: 17:77-17:102","call in function: backup@10-29","callee=java.io.FileOutputStream.<init>","basic block: 17:77-17:102"
"Path: /home/sixsquare/codeQL/projects/litemall/litemall-db/src/main/java/org/linlinjava/litemall/db/util/DbUtil.java","call function: 37:86-37:110","call in function: load@31-50","callee=java.io.FileInputStream.<init>","basic block: 37:86-37:110"
