"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/L.java","call function: 127:21-127:78","call in function: getCacheDir@127-127","callee=java.io.File.<init>","basic block: 127:21-127:78"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 615:24-615:49","call in function: fromZipStreamSyncInternal@604-725","callee=java.util.zip.ZipInputStream.getNextEntry","basic block: 615:24-615:49"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 617:34-617:48","call in function: fromZipStreamSyncInternal@604-725","callee=java.util.zip.ZipEntry.getName","basic block: 617:34-617:48"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 620:20-620:34","call in function: fromZipStreamSyncInternal@604-725","callee=java.util.zip.ZipEntry.getName","basic block: 620:20-620:34"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 622:20-622:34","call in function: fromZipStreamSyncInternal@604-725","callee=java.util.zip.ZipEntry.getName","basic block: 622:20-622:34"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 639:27-639:67","call in function: fromZipStreamSyncInternal@604-725","callee=java.io.File.<init>","basic block: 639:27-639:67"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 640:39-640:68","call in function: fromZipStreamSyncInternal@604-725","callee=java.io.FileOutputStream.<init>","basic block: 640:39-640:68"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 641:40-641:69","call in function: fromZipStreamSyncInternal@604-725","callee=java.io.FileOutputStream.<init>","basic block: 641:40-641:69"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 653:16-653:32","call in function: fromZipStreamSyncInternal@604-725","callee=java.io.File.delete","basic block: 653:16-653:32"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 654:65-654:90","call in function: fromZipStreamSyncInternal@604-725","callee=java.io.File.getAbsolutePath","basic block: 654:65-654:90"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java","call function: 661:17-661:42","call in function: fromZipStreamSyncInternal@604-725","callee=java.util.zip.ZipInputStream.getNextEntry","basic block: 661:17-661:42"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieConfig.java","call function: 74:16-74:33","call in function: getCacheDir@73-78","callee=java.io.File.isDirectory","basic block: 74:16-74:33"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/LottieConfig.java","call function: 94:16-94:33","call in function: getCacheDir@92-98","callee=java.io.File.isDirectory","basic block: 94:16-94:33"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/network/NetworkCache.java","call function: 38:9-38:26","call in function: clear@36-47","callee=java.io.File.exists","basic block: 38:9-38:26"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/network/NetworkCache.java","call function: 39:22-39:42","call in function: clear@36-47","callee=java.io.File.listFiles","basic block: 39:22-39:42"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/network/NetworkCache.java","call function: 42:11-42:23","call in function: clear@36-47","callee=java.io.File.delete","basic block: 42:11-42:23"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/network/NetworkCache.java","call function: 45:7-45:24","call in function: clear@36-47","callee=java.io.File.delete","basic block: 45:7-45:24"
"Path: /home/sixsquare/codeQL/projects/lottie-android/lottie/src/main/java/com/airbnb/lottie/network/NetworkCache.java","call function: 71:21-71:51","call in function: fetch@58-87","callee=java.io.FileInputStream.<init>","basic block: 71:21-71:51"
