"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/mall/mall-admin/src/main/java/com/macro/mall/service/impl/UmsAdminServiceImpl.java","call function: 92:33-92:78","call in function: register@79-96","callee=org.springframework.security.crypto.password.PasswordEncoder.encode","basic block: 92:33-92:78"
"Path: /home/sixsquare/codeQL/projects/mall/mall-admin/src/main/java/com/macro/mall/service/impl/UmsAdminServiceImpl.java","call function: 104:17-104:75","call in function: login@99-119","callee=org.springframework.security.crypto.password.PasswordEncoder.matches","basic block: 104:17-104:75"
"Path: /home/sixsquare/codeQL/projects/mall/mall-admin/src/main/java/com/macro/mall/service/impl/UmsAdminServiceImpl.java","call function: 182:35-182:77","call in function: update@171-188","callee=org.springframework.security.crypto.password.PasswordEncoder.encode","basic block: 182:35-182:77"
"Path: /home/sixsquare/codeQL/projects/mall/mall-admin/src/main/java/com/macro/mall/service/impl/UmsAdminServiceImpl.java","call function: 255:13-255:82","call in function: updatePassword@242-262","callee=org.springframework.security.crypto.password.PasswordEncoder.matches","basic block: 255:13-255:82"
"Path: /home/sixsquare/codeQL/projects/mall/mall-admin/src/main/java/com/macro/mall/service/impl/UmsAdminServiceImpl.java","call function: 258:30-258:75","call in function: updatePassword@242-262","callee=org.springframework.security.crypto.password.PasswordEncoder.encode","basic block: 258:30-258:75"
"Path: /home/sixsquare/codeQL/projects/mall/mall-demo/src/main/java/com/macro/mall/demo/config/SecurityConfig.java","call function: 61:71-61:97","call in function: configure@60-62","callee=org.springframework.security.crypto.bcrypt.BCryptPasswordEncoder.<init>","basic block: 61:71-61:97"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberCouponServiceImpl.java","call function: 91:23-91:46","call in function: generateCouponCode@85-100","callee=java.util.Random.nextInt","basic block: 91:23-91:46"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberCouponServiceImpl.java","call function: 91:23-91:34","call in function: generateCouponCode@85-100","callee=java.util.Random.<init>","basic block: 91:23-91:34"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberServiceImpl.java","call function: 95:31-95:62","call in function: register@78-107","callee=org.springframework.security.crypto.password.PasswordEncoder.encode","basic block: 95:31-95:62"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberServiceImpl.java","call function: 112:25-112:36","call in function: generateAuthCode@110-118","callee=java.util.Random.<init>","basic block: 112:25-112:36"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberServiceImpl.java","call function: 114:23-114:40","call in function: generateAuthCode@110-118","callee=java.util.Random.nextInt","basic block: 114:23-114:40"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberServiceImpl.java","call function: 133:31-133:62","call in function: updatePassword@121-136","callee=org.springframework.security.crypto.password.PasswordEncoder.encode","basic block: 133:31-133:62"
"Path: /home/sixsquare/codeQL/projects/mall/mall-portal/src/main/java/com/macro/mall/portal/service/impl/UmsMemberServiceImpl.java","call function: 170:17-170:75","call in function: login@165-180","callee=org.springframework.security.crypto.password.PasswordEncoder.matches","basic block: 170:17-170:75"
"Path: /home/sixsquare/codeQL/projects/mall/mall-security/src/main/java/com/macro/mall/security/config/CommonSecurityConfig.java","call function: 21:16-21:42","call in function: passwordEncoder@20-22","callee=org.springframework.security.crypto.bcrypt.BCryptPasswordEncoder.<init>","basic block: 21:16-21:42"
