"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/color/ColorHeaderItem.java","call function: 39:11-39:53","call in function: ColorHeaderItem@36-46","callee=java.lang.String.contains","basic block: 39:11-39:53"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/color/ColorHeaderItem.java","call function: 58:9-58:45","call in function: getDisplayName@55-79","callee=java.lang.String.startsWith","basic block: 58:9-58:45"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/color/ColorHeaderItem.java","call function: 62:16-62:77","call in function: getDisplayName@55-79","callee=java.lang.String.contains","basic block: 62:16-62:77"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/color/ColorPaletteDemoFragment.java","call function: 136:11-136:64","call in function: bind@132-147","callee=java.lang.String.startsWith","basic block: 136:11-136:64"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/color/ColorPaletteDemoFragment.java","call function: 168:13-168:66","call in function: generateColorsText@155-174","callee=java.lang.String.startsWith","basic block: 168:13-168:66"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/feature/DemoLandingFragment.java","call function: 192:31-192:72","call in function: addDemoView@171-207","callee=java.lang.String.equals","basic block: 192:31-192:72"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/feature/DemoLandingFragment.java","call function: 278:13-278:55","call in function: startDefaultDemoIfNeeded@271-284","callee=java.lang.String.equals","basic block: 278:13-278:55"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/feature/MemoryView.java","call function: 82:50-82:69","call in function: plotMemoryUsage@80-116","callee=java.lang.CharSequence.toString","basic block: 82:50-82:69"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/menu/MenuMainDemoFragment.java","call function: 220:19-220:54","call in function: onItemClick@217-224","callee=java.lang.CharSequence.toString","basic block: 220:19-220:54"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/musicplayer/MusicData.java","call function: 147:20-147:54","call in function: areItemsTheSame@146-148","callee=java.lang.String.equals","basic block: 147:20-147:54"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/musicplayer/MusicData.java","call function: 189:20-189:54","call in function: areItemsTheSame@188-190","callee=java.lang.String.equals","basic block: 189:20-189:54"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/search/SearchDemoUtils.java","call function: 72:56-72:86","call in function: onEditorAction@71-74","callee=java.lang.CharSequence.toString","basic block: 72:56-72:86"
"Path: /home/sixsquare/codeQL/projects/material-components-android/catalog/java/io/material/catalog/tableofcontents/TocAdapter.java","call function: 51:29-51:49","call in function: performFiltering@41-59","callee=java.lang.CharSequence.toString","basic block: 51:29-51:49"
