"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-admin/miaosha-admin-common/src/main/java/com/geekq/common/utils/md5/MD5Utils.java","call function: 17:31-17:48","call in function: getSaltT@16-22","callee=java.security.SecureRandom.<init>","basic block: 17:31-17:48"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-admin/miaosha-admin-common/src/main/java/com/geekq/common/utils/md5/MD5Utils.java","call function: 19:9-19:31","call in function: getSaltT@16-22","callee=java.security.SecureRandom.nextBytes","basic block: 19:9-19:31"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-admin/miaosha-admin-service/src/main/java/com/geekq/admin/service/impl/OrdersServiceImpl.java","call function: 30:22-30:38","call in function: createOrder@27-40","callee=java.util.UUID.randomUUID","basic block: 30:22-30:38"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/redis/redismanager/RedisLock.java","call function: 15:28-15:44","call in function: getLock@11-33","callee=java.util.UUID.randomUUID","basic block: 15:28-15:44"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 112:22-112:33","call in function: createVerifyCode@96-130","callee=java.util.Random.<init>","basic block: 112:22-112:33"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 115:21-115:38","call in function: createVerifyCode@96-130","callee=java.util.Random.nextInt","basic block: 115:21-115:38"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 116:21-116:39","call in function: createVerifyCode@96-130","callee=java.util.Random.nextInt","basic block: 116:21-116:39"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 160:22-160:33","call in function: createVerifyCodeRegister@147-178","callee=java.util.Random.<init>","basic block: 160:22-160:33"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 163:21-163:38","call in function: createVerifyCodeRegister@147-178","callee=java.util.Random.nextInt","basic block: 163:21-163:38"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 164:21-164:39","call in function: createVerifyCodeRegister@147-178","callee=java.util.Random.nextInt","basic block: 164:21-164:39"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 196:20-196:34","call in function: generateVerifyCode@195-203","callee=java.util.Random.nextInt","basic block: 196:20-196:34"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 197:20-197:34","call in function: generateVerifyCode@195-203","callee=java.util.Random.nextInt","basic block: 197:20-197:34"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 198:20-198:34","call in function: generateVerifyCode@195-203","callee=java.util.Random.nextInt","basic block: 198:20-198:34"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 199:24-199:37","call in function: generateVerifyCode@195-203","callee=java.util.Random.nextInt","basic block: 199:24-199:37"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/service/MiaoshaService.java","call function: 200:24-200:37","call in function: generateVerifyCode@195-203","callee=java.util.Random.nextInt","basic block: 200:24-200:37"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/utils/UUIDUtil.java","call function: 8:16-8:32","call in function: uuid@7-9","callee=java.util.UUID.randomUUID","basic block: 8:16-8:32"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/utils/UserUtil.java","call function: 51:21-51:45","call in function: createUser@17-91","callee=java.io.File.<init>","basic block: 51:21-51:45"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/utils/UserUtil.java","call function: 55:32-55:63","call in function: createUser@17-91","callee=java.io.RandomAccessFile.<init>","basic block: 55:32-55:63"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/utils/UserUtil.java","call function: 52:13-52:25","call in function: createUser@17-91","callee=java.io.File.exists","basic block: 52:13-52:25"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v1/src/main/java/com/geekq/miaosha/utils/UserUtil.java","call function: 56:9-56:28","call in function: createUser@17-91","callee=java.io.File.createNewFile","basic block: 56:9-56:28"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v2/miaosha-common/src/main/java/com/geekq/miasha/utils/MD5Utils.java","call function: 19:31-19:48","call in function: getSaltT@18-24","callee=java.security.SecureRandom.<init>","basic block: 19:31-19:48"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v2/miaosha-common/src/main/java/com/geekq/miasha/utils/MD5Utils.java","call function: 21:9-21:31","call in function: getSaltT@18-24","callee=java.security.SecureRandom.nextBytes","basic block: 21:9-21:31"
"Path: /home/sixsquare/codeQL/projects/miaosha/miaosha-v2/miaosha-common/src/main/java/com/geekq/miasha/utils/UUIDUtil.java","call function: 8:16-8:32","call in function: uuid@7-9","callee=java.util.UUID.randomUUID","basic block: 8:16-8:32"
