"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/SqlSourceBuilder.java","call function: 46:7-46:43","call in function: removeExtraWhitespaces@41-53","callee=java.lang.StringBuilder.append","basic block: 46:7-46:43"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/SqlSourceBuilder.java","call function: 49:9-49:27","call in function: removeExtraWhitespaces@41-53","callee=java.lang.StringBuilder.append","basic block: 49:9-49:27"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/annotation/MapperAnnotationBuilder.java","call function: 232:7-232:24","call in function: generateResultMapName@225-239","callee=java.lang.StringBuilder.append","basic block: 232:7-232:24"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/annotation/MapperAnnotationBuilder.java","call function: 233:7-233:38","call in function: generateResultMapName@225-239","callee=java.lang.StringBuilder.append","basic block: 233:7-233:38"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/annotation/MapperAnnotationBuilder.java","call function: 236:7-236:28","call in function: generateResultMapName@225-239","callee=java.lang.StringBuilder.append","basic block: 236:7-236:28"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/annotation/MapperAnnotationBuilder.java","call function: 622:15-623:107","call in function: apply@620-624","callee=java.lang.String.format","basic block: 622:15-623:107"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/annotation/MapperAnnotationBuilder.java","call function: 634:34-636:77","call in function: getAnnotationWrapper@615-639","callee=java.lang.String.format","basic block: 634:34-636:77"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLMapperEntityResolver.java","call function: 79:18-79:36","call in function: getInputSource@74-87","callee=org.xml.sax.InputSource.<init>","basic block: 79:18-79:36"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/builder/xml/XMLMapperEntityResolver.java","call function: 81:9-81:36","call in function: getInputSource@74-87","callee=org.xml.sax.InputSource.setSystemId","basic block: 81:9-81:36"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 147:7-147:88","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 147:7-147:88"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 148:7-148:89","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 148:7-148:89"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 148:7-148:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 148:7-148:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 149:7-149:86","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 149:7-149:86"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 149:7-149:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 149:7-149:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 150:7-150:91","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 150:7-150:91"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 150:7-150:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 150:7-150:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 151:7-152:77","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 151:7-152:77"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 151:7-151:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 151:7-151:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 153:7-153:106","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 153:7-153:106"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 153:7-153:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 153:7-153:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 154:7-154:104","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 154:7-154:104"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 154:7-154:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 154:7-154:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 155:7-155:101","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 155:7-155:101"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 155:7-155:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 155:7-155:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 156:7-156:92","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 156:7-156:92"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 156:7-156:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 156:7-156:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 157:7-157:93","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 157:7-157:93"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 157:7-157:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 157:7-157:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 158:7-158:91","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 158:7-158:91"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 158:7-158:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 158:7-158:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 159:7-159:107","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 159:7-159:107"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 159:7-159:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 159:7-159:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 160:7-160:89","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 160:7-160:89"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 161:7-161:93","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 161:7-161:93"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 161:7-161:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 161:7-161:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 162:7-162:91","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 162:7-162:91"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 162:7-162:58","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 162:7-162:58"
"Path: /home/sixsquare/codeQL/projects/mybatis-3/src/main/java/org/apache/ibatis/datasource/pooled/PoolState.java","call function: 163:7-163:84","call in function: toString@143-176","callee=java.lang.StringBuilder.append","basic block: 163:7-163:84"
