"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/VelocityTemplateEngine.java","call function: 65:30-65:50","call in function: init@51-68","callee=org.apache.velocity.app.VelocityEngine.<init>","basic block: 65:30-65:50"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/VelocityTemplateEngine.java","call function: 73:9-73:101","call in function: writer@71-75","callee=org.apache.velocity.app.VelocityEngine.evaluate","basic block: 73:9-73:101"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/VelocityTemplateEngine.java","call function: 73:33-73:62","call in function: writer@71-75","callee=org.apache.velocity.VelocityContext.<init>","basic block: 73:33-73:62"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/VelocityTemplateEngine.java","call function: 83:13-83:66","call in function: writer@78-85","callee=org.apache.velocity.Template.merge","basic block: 83:13-83:66"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/VelocityTemplateEngine.java","call function: 83:28-83:57","call in function: writer@78-85","callee=org.apache.velocity.VelocityContext.<init>","basic block: 83:28-83:57"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/FreemarkerTemplateEngine.java","call function: 42:25-42:90","call in function: init@41-46","callee=freemarker.template.Configuration.<init>","basic block: 42:25-42:90"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/FreemarkerTemplateEngine.java","call function: 50:29-50:85","call in function: writer@49-54","callee=freemarker.template.Template.<init>","basic block: 50:29-50:85"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/FreemarkerTemplateEngine.java","call function: 52:9-52:43","call in function: writer@49-54","callee=freemarker.template.Template.process","basic block: 52:9-52:43"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/FreemarkerTemplateEngine.java","call function: 58:29-58:67","call in function: writer@57-62","callee=freemarker.template.Configuration.getTemplate","basic block: 58:29-58:67"
"Path: /home/sixsquare/codeQL/projects/mybatis-plus/mybatis-plus-generator/src/main/java/com/baomidou/mybatisplus/generator/engine/FreemarkerTemplateEngine.java","call function: 60:13-60:96","call in function: writer@57-62","callee=freemarker.template.Template.process","basic block: 60:13-60:96"
