"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","call function: 1974:13-1974:78","call in function: readBytes@1971-1993","callee=java.io.OutputStream.write","basic block: 1974:13-1974:78"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/ByteBufUtil.java","call function: 2000:13-2000:40","call in function: getBytes@1995-2003","callee=java.io.OutputStream.write","basic block: 2000:13-2000:40"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/PooledHeapByteBuf.java","call function: 127:9-127:45","call in function: getBytes@125-129","callee=java.io.OutputStream.write","basic block: 127:9-127:45"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","call function: 396:13-396:75","call in function: getBytes@389-405","callee=java.io.OutputStream.write","basic block: 396:13-396:75"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/ReadOnlyByteBufferBuf.java","call function: 402:13-402:37","call in function: getBytes@389-405","callee=java.io.OutputStream.write","basic block: 402:13-402:37"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/UnpooledHeapByteBuf.java","call function: 196:9-196:39","call in function: getBytes@194-198","callee=java.io.OutputStream.write","basic block: 196:9-196:39"
"Path: /home/sixsquare/codeQL/projects/netty/buffer/src/main/java/io/netty/buffer/UnsafeByteBufUtil.java","call function: 633:13-633:40","call in function: getBytes@628-637","callee=java.io.OutputStream.write","basic block: 633:13-633:40"
"Path: /home/sixsquare/codeQL/projects/netty/codec-classes-quic/src/main/java/io/netty/handler/codec/quic/BoringSSL.java","call function: 64:17-64:32","call in function: toWireFormat@56-70","callee=java.io.OutputStream.write","basic block: 64:17-64:32"
"Path: /home/sixsquare/codeQL/projects/netty/codec-classes-quic/src/main/java/io/netty/handler/codec/quic/BoringSSLCertificateCallback.java","call function: 228:13-228:40","call in function: toPemEncoded@226-235","callee=java.io.OutputStream.write","basic block: 228:13-228:40"
"Path: /home/sixsquare/codeQL/projects/netty/codec-classes-quic/src/main/java/io/netty/handler/codec/quic/BoringSSLCertificateCallback.java","call function: 229:13-229:67","call in function: toPemEncoded@226-235","callee=java.io.OutputStream.write","basic block: 229:13-229:67"
"Path: /home/sixsquare/codeQL/projects/netty/codec-classes-quic/src/main/java/io/netty/handler/codec/quic/BoringSSLCertificateCallback.java","call function: 230:13-230:38","call in function: toPemEncoded@226-235","callee=java.io.OutputStream.write","basic block: 230:13-230:38"
"Path: /home/sixsquare/codeQL/projects/netty/codec-compression/src/test/java/io/netty/handler/codec/compression/Bzip2DecoderTest.java","call function: 195:9-195:27","call in function: compress@192-199","callee=java.io.OutputStream.write","basic block: 195:9-195:27"
"Path: /home/sixsquare/codeQL/projects/netty/codec-compression/src/test/java/io/netty/handler/codec/compression/ZlibTest.java","call function: 442:13-442:31","call in function: deflate@439-445","callee=java.io.OutputStream.write","basic block: 442:13-442:31"
"Path: /home/sixsquare/codeQL/projects/netty/codec-haproxy/src/test/java/io/netty/handler/codec/haproxy/HAProxyMessageDecoderTest.java","call function: 1203:9-1203:99","call in function: testNestedTLV@1200-1258","callee=java.io.OutputStream.write","basic block: 1203:9-1203:99"
"Path: /home/sixsquare/codeQL/projects/netty/codec-haproxy/src/test/java/io/netty/handler/codec/haproxy/HAProxyMessageDecoderTest.java","call function: 1217:13-1217:52","call in function: testNestedTLV@1200-1258","callee=java.io.OutputStream.write","basic block: 1217:13-1217:52"
"Path: /home/sixsquare/codeQL/projects/netty/codec-haproxy/src/test/java/io/netty/handler/codec/haproxy/HAProxyMessageDecoderTest.java","call function: 1221:13-1221:63","call in function: testNestedTLV@1200-1258","callee=java.io.OutputStream.write","basic block: 1221:13-1221:63"
