"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator-maven-plugin/src/main/java/org/openapitools/codegen/plugin/CodeGenMojo.java","call function: 1062:20-1062:69","call in function: inputSpecRemoteUrl@1060-1066","callee=java.net.URI.<init>","basic block: 1062:20-1062:69"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator-online/src/main/java/org/openapitools/codegen/online/configuration/OpenAPIDocumentationConfig.java","call function: 89:31-89:49","call in function: customImplementation@73-108","callee=java.net.URI.<init>","basic block: 89:31-89:49"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator-online/src/main/java/org/openapitools/codegen/online/service/GenApiService.java","call function: 165:26-165:65","call in function: getResponse@160-182","callee=org.springframework.web.util.UriComponentsBuilder.fromUriString","basic block: 165:26-165:65"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator-online/src/main/java/org/openapitools/codegen/online/service/GenApiService.java","call function: 177:27-177:88","call in function: getResponse@160-182","callee=org.springframework.web.util.UriComponentsBuilder.toUriString","basic block: 177:27-177:88"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator/src/main/java/org/openapitools/codegen/languages/JavaHelidonCommonCodegen.java","call function: 900:58-900:89","call in function: versions@893-928","callee=java.net.URI.create","basic block: 900:58-900:89"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator/src/main/java/org/openapitools/codegen/languages/JavaHelidonCommonCodegen.java","call function: 905:49-905:106","call in function: versions@893-928","callee=java.net.http.HttpClient.send","basic block: 905:49-905:106"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator/src/main/java/org/openapitools/codegen/utils/ModelUtils.java","call function: 1996:34-1996:53","call in function: readWithInfo@1987-2007","callee=java.net.URI.create","basic block: 1996:34-1996:53"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator/src/main/java/org/openapitools/codegen/utils/URLPathUtils.java","call function: 68:24-68:35","call in function: getServerURL@54-74","callee=java.net.URL.<init>","basic block: 68:24-68:35"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/modules/openapi-generator/src/main/java/org/openapitools/codegen/utils/URLPathUtils.java","call function: 229:20-229:38","call in function: getDefaultUrl@227-233","callee=java.net.URL.<init>","basic block: 229:20-229:38"
"Path: /home/sixsquare/codeQL/projects/openapi-generator/samples/client/echo_api/java/apache-httpclient/src/main/java/org/openapitools/client/ApiClient.java","call function: 1033:43-1033:86","call in function: invokeAPI@971-1038","callee=org.apache.hc.client5.http.impl.classic.CloseableHttpClient.execute","basic block: 1033:43-1033:86"
