"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/presto/presto-atop/src/test/java/com/facebook/presto/atop/TestAtopHang.java","call function: 44:25-44:39","call in function: setUp@41-47","callee=com.google.common.io.Files.createTempDir","basic block: 44:25-44:39"
"Path: /home/sixsquare/codeQL/projects/presto/presto-atop/src/test/java/com/facebook/presto/atop/TestAtopHang.java","call function: 72:21-72:69","call in function: copyExecutable@68-77","callee=java.nio.file.Path.resolve","basic block: 72:21-72:69"
"Path: /home/sixsquare/codeQL/projects/presto/presto-atop/src/test/java/com/facebook/presto/atop/TestAtopHang.java","call function: 72:21-72:35","call in function: copyExecutable@68-77","callee=java.io.File.toPath","basic block: 72:21-72:35"
"Path: /home/sixsquare/codeQL/projects/presto/presto-atop/src/test/java/com/facebook/presto/atop/TestAtopHang.java","call function: 72:45-72:58","call in function: copyExecutable@68-77","callee=java.io.File.<init>","basic block: 72:45-72:58"
"Path: /home/sixsquare/codeQL/projects/presto/presto-atop/src/test/java/com/facebook/presto/atop/TestAtopHang.java","call function: 73:9-73:32","call in function: copyExecutable@68-77","callee=java.nio.file.Files.write","basic block: 73:9-73:32"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 80:50-80:114","call in function: createFlightClient@71-128","callee=java.nio.file.Files.newInputStream","basic block: 80:50-80:114"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 80:65-80:113","call in function: createFlightClient@71-128","callee=java.nio.file.Paths.get","basic block: 80:65-80:113"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 84:49-84:113","call in function: createFlightClient@71-128","callee=java.nio.file.Files.newInputStream","basic block: 84:49-84:113"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 84:64-84:112","call in function: createFlightClient@71-128","callee=java.nio.file.Paths.get","basic block: 84:64-84:112"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 85:41-85:97","call in function: createFlightClient@71-128","callee=java.nio.file.Files.newInputStream","basic block: 85:41-85:97"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/main/java/com/facebook/plugin/arrow/BaseArrowFlightClientHandler.java","call function: 85:56-85:96","call in function: createFlightClient@71-128","callee=java.nio.file.Paths.get","basic block: 85:56-85:96"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/ArrowFlightQueryRunner.java","call function: 137:27-137:73","call in function: main@126-161","callee=java.io.File.<init>","basic block: 137:27-137:73"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/ArrowFlightQueryRunner.java","call function: 138:26-138:72","call in function: main@126-161","callee=java.io.File.<init>","basic block: 138:26-138:72"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/ArrowFlightQueryRunner.java","call function: 142:27-142:69","call in function: main@126-161","callee=java.io.File.<init>","basic block: 142:27-142:69"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightEchoQueries.java","call function: 140:30-140:76","call in function: setup@136-155","callee=java.io.File.<init>","basic block: 140:30-140:76"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightEchoQueries.java","call function: 141:31-141:77","call in function: setup@136-155","callee=java.io.File.<init>","basic block: 141:31-141:77"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightEchoQueries.java","call function: 468:67-468:134","call in function: createFlightClient@466-471","callee=java.nio.file.Files.readAllBytes","basic block: 468:67-468:134"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightEchoQueries.java","call function: 468:86-468:133","call in function: createFlightClient@466-471","callee=java.nio.file.Paths.get","basic block: 468:86-468:133"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightIntegrationMixedCase.java","call function: 59:30-59:76","call in function: setup@54-70","callee=java.io.File.<init>","basic block: 59:30-59:76"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightIntegrationMixedCase.java","call function: 60:31-60:77","call in function: setup@54-70","callee=java.io.File.<init>","basic block: 60:31-60:77"
"Path: /home/sixsquare/codeQL/projects/presto/presto-base-arrow-flight/src/test/java/com/facebook/plugin/arrow/TestArrowFlightIntegrationSmokeTest.java","call function: 44:30-44:76","call in function: setup@40-55","callee=java.io.File.<init>","basic block: 44:30-44:76"
