"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/DownApplication.java","call function: 137:5-137:24","call in function: initExtension@136-163","callee=java.lang.Runtime.getRuntime","basic block: 137:5-137:24"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/DownApplication.java","call function: 190:11-190:30","call in function: run@170-202","callee=java.lang.Runtime.getRuntime","basic block: 190:11-190:30"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 19:23-19:54","call in function: exec@18-33","callee=java.lang.Runtime.exec","basic block: 19:23-19:54"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 19:23-19:42","call in function: exec@18-33","callee=java.lang.Runtime.getRuntime","basic block: 19:23-19:42"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 39:23-39:54","call in function: execBlock@38-50","callee=java.lang.Runtime.exec","basic block: 39:23-39:54"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 39:23-39:42","call in function: execBlock@38-50","callee=java.lang.Runtime.getRuntime","basic block: 39:23-39:42"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 57:23-64:6","call in function: execBlockWithAdmin@55-75","callee=java.lang.Runtime.exec","basic block: 57:23-64:6"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/main/src/main/java/org/pdown/gui/util/ExecUtil.java","call function: 57:23-57:42","call in function: execBlockWithAdmin@55-75","callee=java.lang.Runtime.getRuntime","basic block: 57:23-57:42"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/runner/src/main/java/org/pdown/gui/Runner.java","call function: 88:25-88:60","call in function: fork@57-107","callee=java.lang.Runtime.exec","basic block: 88:25-88:60"
"Path: /home/sixsquare/codeQL/projects/proxyee-down/runner/src/main/java/org/pdown/gui/Runner.java","call function: 88:25-88:44","call in function: fork@57-107","callee=java.lang.Runtime.getRuntime","basic block: 88:25-88:44"
