"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson-quarkus/redisson-quarkus-30/cache/deployment/src/test/java/io/quarkus/cache/redisson/MultipleCachesTest.java","call function: 84:20-84:46","call in function: cache2@83-85","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 84:20-84:46"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson-quarkus/redisson-quarkus-30/cache/integration-tests/src/main/java/org/redisson/quarkus/client/it/CachedService.java","call function: 37:16-37:53","call in function: cache2@36-38","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 37:16-37:53"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson-quarkus/redisson-quarkus-30/cache/integration-tests/src/main/java/org/redisson/quarkus/client/it/CachedService.java","call function: 37:16-37:42","call in function: cache2@36-38","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 37:16-37:42"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson-spring/redisson-spring-cache/src/main/java/org/redisson/spring/cache/RedissonCache.java","call function: 190:29-190:53","call in function: apply@184-219","callee=java.util.Random.nextLong","basic block: 190:29-190:53"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson-spring/redisson-spring-data/redisson-spring-data-16/src/test/java/org/redisson/ClusterRunner.java","call function: 115:32-115:49","call in function: getRandomId@114-117","callee=java.security.SecureRandom.<init>","basic block: 115:32-115:49"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson/src/main/java/org/redisson/RedissonMultiLock.java","call function: 215:28-215:85","call in function: lockAsync@204-223","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 215:28-215:85"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson/src/main/java/org/redisson/RedissonMultiLock.java","call function: 215:28-215:54","call in function: lockAsync@204-223","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 215:28-215:54"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson/src/main/java/org/redisson/RedissonMultiLock.java","call function: 217:28-217:87","call in function: lockAsync@204-223","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 217:28-217:87"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson/src/main/java/org/redisson/RedissonMultiLock.java","call function: 217:28-217:54","call in function: lockAsync@204-223","callee=java.util.concurrent.ThreadLocalRandom.current","basic block: 217:28-217:54"
"Path: /home/sixsquare/codeQL/projects/redisson/redisson/src/main/java/org/redisson/RedissonMultiLock.java","call function: 251:32-251:89","call in function: lockInterruptibly@242-265","callee=java.util.concurrent.ThreadLocalRandom.nextLong","basic block: 251:32-251:89"
