"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 181:29-181:57","call in function: apply@178-194","callee=java.lang.String.startsWith","basic block: 181:29-181:57"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 479:11-479:39","call in function: visit@477-492","callee=java.lang.String.startsWith","basic block: 479:11-479:39"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 485:12-485:54","call in function: visit@477-492","callee=java.lang.String.startsWith","basic block: 485:12-485:54"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 485:60-485:83","call in function: visit@477-492","callee=java.lang.String.startsWith","basic block: 485:60-485:83"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 229:17-229:72","call in function: visitFile@228-233","callee=java.lang.String.equals","basic block: 229:17-229:72"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 360:37-360:70","call in function: readServicesFromClasses@354-408","callee=java.lang.String.endsWith","basic block: 360:37-360:70"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 384:25-384:52","call in function: visitMethodInsn@378-390","callee=java.lang.String.equals","basic block: 384:25-384:52"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 384:57-384:75","call in function: visitMethodInsn@378-390","callee=java.lang.String.equals","basic block: 384:57-384:75"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 421:14-421:47","call in function: inferPackages@410-454","callee=java.lang.String.endsWith","basic block: 421:14-421:47"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/dev/selenium/tools/modules/ModuleGenerator.java","call function: 434:13-434:49","call in function: inferPackages@410-454","callee=java.lang.String.startsWith","basic block: 434:13-434:49"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Architecture.java","call function: 139:13-139:32","call in function: extractFromSysProperty@124-146","callee=java.lang.String.equals","basic block: 139:13-139:32"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/By.java","call function: 171:12-171:50","call in function: equals@164-172","callee=java.lang.String.equals","basic block: 171:12-171:50"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/By.java","call function: 375:16-375:39","call in function: equals@370-376","callee=java.lang.String.equals","basic block: 375:16-375:39"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/By.java","call function: 375:44-375:76","call in function: equals@370-376","callee=java.util.Objects.equals","basic block: 375:44-375:76"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Cookie.java","call function: 228:27-228:46","call in function: validate@218-231","callee=java.lang.String.contains","basic block: 228:27-228:46"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Cookie.java","call function: 278:12-278:26","call in function: toString@271-282","callee=java.lang.String.equals","basic block: 278:12-278:26"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Cookie.java","call function: 296:10-296:33","call in function: equals@286-300","callee=java.lang.String.equals","basic block: 296:10-296:33"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Cookie.java","call function: 299:12-299:46","call in function: equals@286-300","callee=java.util.Objects.equals","basic block: 299:12-299:46"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/HasDownloads.java","call function: 99:14-99:38","call in function: hasExtension@98-100","callee=java.lang.String.startsWith","basic block: 99:14-99:38"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/HasDownloads.java","call function: 99:42-99:65","call in function: hasExtension@98-100","callee=java.lang.String.endsWith","basic block: 99:42-99:65"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/HasDownloads.java","call function: 99:69-99:98","call in function: hasExtension@98-100","callee=java.lang.String.endsWith","basic block: 99:69-99:98"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/PageLoadStrategy.java","call function: 43:13-43:41","call in function: fromString@40-49","callee=java.lang.String.equalsIgnoreCase","basic block: 43:13-43:41"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 435:9-435:69","call in function: extractFromSysProperty@432-466","callee=java.lang.String.equalsIgnoreCase","basic block: 435:9-435:69"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 439:9-439:31","call in function: extractFromSysProperty@432-466","callee=java.lang.String.equals","basic block: 439:9-439:31"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 439:36-439:66","call in function: extractFromSysProperty@432-466","callee=java.lang.String.startsWith","basic block: 439:36-439:66"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 443:9-443:31","call in function: extractFromSysProperty@432-466","callee=java.lang.String.equals","basic block: 443:9-443:31"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 443:36-443:66","call in function: extractFromSysProperty@432-466","callee=java.lang.String.startsWith","basic block: 443:36-443:66"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 476:11-476:52","call in function: fromString@474-489","callee=java.lang.String.equalsIgnoreCase","basic block: 476:11-476:52"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 483:13-483:42","call in function: fromString@474-489","callee=java.lang.String.equalsIgnoreCase","basic block: 483:13-483:42"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 537:12-537:40","call in function: isCurrentPlatform@536-538","callee=java.lang.String.contains","basic block: 537:12-537:40"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Platform.java","call function: 541:12-541:38","call in function: isExactMatch@540-542","callee=java.lang.String.equals","basic block: 541:12-541:38"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 500:12-500:81","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 500:12-500:81"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 499:12-499:71","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 499:12-499:71"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 498:12-498:71","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 498:12-498:71"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 497:12-497:69","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 497:12-497:69"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 496:12-496:65","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 496:12-496:65"
"Path: /home/sixsquare/codeQL/projects/selenium/java/src/org/openqa/selenium/Proxy.java","call function: 495:12-495:61","call in function: equals@482-501","callee=java.util.Objects.equals","basic block: 495:12-495:61"
