"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 78:18-78:51","call in function: FirebirdSRPAuthenticationData@77-85","callee=java.security.MessageDigest.getInstance","basic block: 78:18-78:51"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 112:20-112:39","call in function: sha1@110-116","callee=java.security.MessageDigest.digest","basic block: 112:20-112:39"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 120:13-120:33","call in function: sha1@118-125","callee=java.security.MessageDigest.update","basic block: 120:13-120:33"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 121:20-121:40","call in function: sha1@118-125","callee=java.security.MessageDigest.digest","basic block: 121:20-121:40"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 158:13-158:64","call in function: getUserHash@155-166","callee=java.security.MessageDigest.update","basic block: 158:13-158:64"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 159:13-159:41","call in function: getUserHash@155-166","callee=java.security.MessageDigest.update","basic block: 159:13-159:41"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 160:21-160:76","call in function: getUserHash@155-166","callee=java.security.MessageDigest.digest","basic block: 160:21-160:76"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 203:32-203:82","call in function: clientProofHash@201-211","callee=java.security.MessageDigest.getInstance","basic block: 203:32-203:82"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 205:17-205:32","call in function: clientProofHash@201-211","callee=java.security.MessageDigest.update","basic block: 205:17-205:32"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/firebird/src/main/java/org/apache/shardingsphere/database/protocol/firebird/packet/handshake/FirebirdSRPAuthenticationData.java","call function: 207:20-207:30","call in function: clientProofHash@201-211","callee=java.security.MessageDigest.digest","basic block: 207:20-207:30"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 93:19-93:56","call in function: getMacResult@92-96","callee=javax.crypto.Mac.getInstance","basic block: 93:19-93:56"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 94:9-94:63","call in function: getMacResult@92-96","callee=javax.crypto.Mac.init","basic block: 94:9-94:63"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 94:18-94:62","call in function: getMacResult@92-96","callee=javax.crypto.spec.SecretKeySpec.<init>","basic block: 94:18-94:62"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 95:16-95:32","call in function: getMacResult@92-96","callee=javax.crypto.Mac.doFinal","basic block: 95:16-95:32"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 100:30-100:110","call in function: generateSecretKey@99-102","callee=javax.crypto.spec.PBEKeySpec.<init>","basic block: 100:30-100:110"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 101:16-101:97","call in function: generateSecretKey@99-102","callee=javax.crypto.SecretKeyFactory.generateSecret","basic block: 101:16-101:97"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 101:16-101:73","call in function: generateSecretKey@99-102","callee=javax.crypto.SecretKeyFactory.getInstance","basic block: 101:16-101:73"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 134:39-134:81","call in function: sha256@133-137","callee=java.security.MessageDigest.getInstance","basic block: 134:39-134:81"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 135:9-135:34","call in function: sha256@133-137","callee=java.security.MessageDigest.update","basic block: 135:9-135:34"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/database/protocol/dialect/opengauss/src/main/java/org/apache/shardingsphere/database/protocol/opengauss/packet/authentication/OpenGaussMacCalculator.java","call function: 136:16-136:37","call in function: sha256@133-137","callee=java.security.MessageDigest.digest","basic block: 136:16-136:37"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/AESCryptographicAlgorithm.java","call function: 52:25-52:123","call in function: encrypt@48-54","callee=javax.crypto.Cipher.doFinal","basic block: 52:25-52:123"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/AESCryptographicAlgorithm.java","call function: 68:25-68:101","call in function: decrypt@64-70","callee=javax.crypto.Cipher.doFinal","basic block: 68:25-68:101"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/AESCryptographicAlgorithm.java","call function: 79:25-79:53","call in function: getCipher@78-82","callee=javax.crypto.Cipher.getInstance","basic block: 79:25-79:53"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/AESCryptographicAlgorithm.java","call function: 80:9-80:92","call in function: getCipher@78-82","callee=javax.crypto.Cipher.init","basic block: 80:9-80:92"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/AESCryptographicAlgorithm.java","call function: 80:34-80:91","call in function: getCipher@78-82","callee=javax.crypto.spec.SecretKeySpec.<init>","basic block: 80:34-80:91"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/algorithm/type/cryptographic/type/aes/src/main/java/org/apache/shardingsphere/infra/algorithm/cryptographic/aes/props/DefaultAESPropertiesProvider.java","call function: 68:30-68:129","call in function: getSecretKey@63-69","callee=java.security.MessageDigest.digest","basic block: 68:30-68:129"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/common/src/main/java/org/apache/shardingsphere/infra/metadata/statistics/RowStatistics.java","call function: 62:29-62:60","call in function: useMd5GenerateUniqueKey@61-65","callee=java.security.MessageDigest.getInstance","basic block: 62:29-62:60"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/common/src/main/java/org/apache/shardingsphere/infra/metadata/statistics/RowStatistics.java","call function: 63:9-63:75","call in function: useMd5GenerateUniqueKey@61-65","callee=java.security.MessageDigest.update","basic block: 63:9-63:75"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/infra/common/src/main/java/org/apache/shardingsphere/infra/metadata/statistics/RowStatistics.java","call function: 64:57-64:68","call in function: useMd5GenerateUniqueKey@61-65","callee=java.security.MessageDigest.digest","basic block: 64:57-64:68"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 51:39-51:72","call in function: encryptWithMySQL41@50-55","callee=java.security.MessageDigest.getInstance","basic block: 51:39-51:72"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 52:31-52:60","call in function: encryptWithMySQL41@50-55","callee=java.security.MessageDigest.digest","basic block: 52:31-52:60"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 53:61-53:94","call in function: encryptWithMySQL41@50-55","callee=java.security.MessageDigest.digest","basic block: 53:61-53:94"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 68:39-68:74","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.getInstance","basic block: 68:39-68:74"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 69:21-69:50","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.digest","basic block: 69:21-69:50"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 70:21-70:44","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.digest","basic block: 70:21-70:44"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 74:21-74:42","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.digest","basic block: 74:21-74:42"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 72:9-72:32","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.update","basic block: 72:9-72:32"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 73:9-73:34","call in function: encryptWithSha2@67-77","callee=java.security.MessageDigest.update","basic block: 73:9-73:34"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 95:25-95:58","call in function: encryptWithRSAPublicKey@94-98","callee=javax.crypto.Cipher.getInstance","basic block: 95:25-95:58"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 96:9-96:45","call in function: encryptWithRSAPublicKey@94-98","callee=javax.crypto.Cipher.init","basic block: 96:9-96:45"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 97:16-97:37","call in function: encryptWithRSAPublicKey@94-98","callee=javax.crypto.Cipher.doFinal","basic block: 97:16-97:37"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 103:25-103:53","call in function: parseRSAPublicKey@100-105","callee=java.security.KeyFactory.getInstance","basic block: 103:25-103:53"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 104:31-104:53","call in function: parseRSAPublicKey@100-105","callee=java.security.KeyFactory.generatePublic","basic block: 104:31-104:53"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 112:9-112:34","call in function: concatSeed@111-115","callee=java.security.MessageDigest.update","basic block: 112:9-112:34"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 113:9-113:42","call in function: concatSeed@111-115","callee=java.security.MessageDigest.update","basic block: 113:9-113:42"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/dialect/mysql/src/main/java/org/apache/shardingsphere/data/pipeline/mysql/ingest/incremental/client/PasswordEncryption.java","call function: 114:16-114:37","call in function: concatSeed@111-115","callee=java.security.MessageDigest.digest","basic block: 114:16-114:37"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/kernel/data-pipeline/scenario/cdc/client/src/main/java/org/apache/shardingsphere/data/pipeline/cdc/client/CDCClient.java","call function: 123:67-123:82","call in function: login@118-131","callee=com.google.common.hash.Hashing.sha256","basic block: 123:67-123:82"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/netty/CDCChannelInboundHandler.java","call function: 145:63-145:78","call in function: processLogin@138-149","callee=com.google.common.hash.Hashing.sha256","basic block: 145:63-145:78"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/ssl/SSLUtils.java","call function: 55:9-55:56","call in function: <clinit>@52-52","callee=java.security.Security.addProvider","basic block: 55:9-55:56"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/ssl/SSLUtils.java","call function: 55:30-55:55","call in function: <clinit>@52-52","callee=org.bouncycastle.jce.provider.BouncyCastleProvider.<init>","basic block: 55:30-55:55"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/ssl/SSLUtils.java","call function: 65:45-65:115","call in function: generateRSAKeyPair@64-68","callee=java.security.KeyPairGenerator.getInstance","basic block: 65:45-65:115"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/ssl/SSLUtils.java","call function: 66:9-66:61","call in function: generateRSAKeyPair@64-68","callee=java.security.KeyPairGenerator.initialize","basic block: 66:9-66:61"
"Path: /home/sixsquare/codeQL/projects/shardingsphere/proxy/frontend/core/src/main/java/org/apache/shardingsphere/proxy/frontend/ssl/SSLUtils.java","call function: 67:16-67:49","call in function: generateRSAKeyPair@64-68","callee=java.security.KeyPairGenerator.generateKeyPair","basic block: 67:16-67:49"
