"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/server-receiver-plugin/skywalking-profile-receiver-plugin/src/main/java/org/apache/skywalking/oap/server/receiver/profile/provider/handler/ProfileTaskServiceHandler.java","call function: 171:21-171:83","call in function: onNext@149-206","callee=java.io.OutputStream.write","basic block: 171:21-171:83"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 120:25-120:64","call in function: OALClassGenerator@114-123","callee=freemarker.template.Configuration.<init>","basic block: 120:25-120:64"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 234:17-234:106","call in function: generateMetricsClass@146-276","callee=freemarker.template.Template.process","basic block: 234:17-234:106"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 234:17-234:71","call in function: generateMetricsClass@146-276","callee=freemarker.template.Configuration.getTemplate","basic block: 234:17-234:71"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 309:17-311:59","call in function: generateMetricsBuilderClass@281-331","callee=freemarker.template.Template.process","basic block: 309:17-311:59"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 309:17-310:119","call in function: generateMetricsBuilderClass@281-331","callee=freemarker.template.Configuration.getTemplate","basic block: 309:17-310:119"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 379:17-379:116","call in function: generateDispatcherClass@336-414","callee=freemarker.template.Template.process","basic block: 379:17-379:116"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 379:17-379:69","call in function: generateDispatcherClass@336-414","callee=freemarker.template.Configuration.getTemplate","basic block: 379:17-379:69"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 393:13-393:105","call in function: generateDispatcherClass@336-414","callee=freemarker.template.Template.process","basic block: 393:13-393:105"
"Path: /home/sixsquare/codeQL/projects/skywalking/oap-server/oal-rt/src/main/java/org/apache/skywalking/oal/rt/util/OALClassGenerator.java","call function: 393:13-393:64","call in function: generateDispatcherClass@336-414","callee=freemarker.template.Configuration.getTemplate","basic block: 393:13-393:64"
