"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-session/src/main/java/com/xkcoding/session/interceptor/SessionInterceptor.java","call function: 29:9-29:61","call in function: preHandle@22-31","callee=javax.servlet.http.HttpServletResponse.sendRedirect","basic block: 29:9-29:61"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-rbac-security/src/main/java/com/xkcoding/rbac/security/util/JwtUtil.java","call function: 155:30-155:63","call in function: getJwtFromRequest@154-160","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 155:30-155:63"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-oauth/oauth-resource-server/src/main/java/com/xkcoding/oauth/config/OauthResourceTokenConfig.java","call function: 79:25-79:131","call in function: getKeyFromAuthorizationServer@74-88","callee=org.springframework.web.client.RestTemplate.getForObject","basic block: 79:25-79:131"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-social/src/main/java/com/xkcoding/social/controller/OauthController.java","call function: 59:9-59:101","call in function: renderAuth@57-60","callee=javax.servlet.http.HttpServletResponse.sendRedirect","basic block: 59:9-59:101"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-oauth/oauth-authorization-server/src/main/java/com/xkcoding/oauth/config/ClientLoginFailureHandler.java","call function: 27:9-27:114","call in function: onAuthenticationFailure@24-28","callee=javax.servlet.http.HttpServletResponse.sendRedirect","basic block: 27:9-27:114"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-oauth/oauth-authorization-server/src/main/java/com/xkcoding/oauth/config/ClientLogoutSuccessHandler.java","call function: 27:9-27:66","call in function: onLogoutSuccess@24-28","callee=javax.servlet.http.HttpServletResponse.sendRedirect","basic block: 27:9-27:66"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-oauth/oauth-authorization-server/src/main/java/com/xkcoding/oauth/config/ClientLogoutSuccessHandler.java","call function: 27:31-27:65","call in function: onLogoutSuccess@24-28","callee=javax.servlet.ServletRequest.getParameter","basic block: 27:31-27:65"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-websocket/src/main/java/com/xkcoding/websocket/util/IpUtil.java","call function: 20:21-20:56","call in function: getIpAddr@16-39","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 20:21-20:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-websocket/src/main/java/com/xkcoding/websocket/util/IpUtil.java","call function: 22:18-22:53","call in function: getIpAddr@16-39","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 22:18-22:53"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-websocket/src/main/java/com/xkcoding/websocket/util/IpUtil.java","call function: 25:18-25:53","call in function: getIpAddr@16-39","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 25:18-25:53"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-websocket/src/main/java/com/xkcoding/websocket/util/IpUtil.java","call function: 28:18-28:56","call in function: getIpAddr@16-39","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 28:18-28:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-websocket/src/main/java/com/xkcoding/websocket/util/IpUtil.java","call function: 31:18-31:47","call in function: getIpAddr@16-39","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 31:18-31:47"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-dynamic-datasource/src/main/java/com/xkcoding/dynamic/datasource/aspect/DatasourceSelectorAspect.java","call function: 56:39-56:79","call in function: doBefore@43-64","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 56:39-56:79"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-log-aop/src/main/java/com/xkcoding/log/aop/aspectj/AopLog.java","call function: 67:25-67:55","call in function: aroundLog@58-88","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 67:25-67:55"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-log-aop/src/main/java/com/xkcoding/log/aop/aspectj/AopLog.java","call function: 74:18-74:40","call in function: aroundLog@58-88","callee=javax.servlet.http.HttpServletRequest.getRequestURL","basic block: 74:18-74:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-log-aop/src/main/java/com/xkcoding/log/aop/aspectj/AopLog.java","call function: 122:21-122:56","call in function: getIp@121-146","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 122:21-122:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-log-aop/src/main/java/com/xkcoding/log/aop/aspectj/AopLog.java","call function: 124:18-124:53","call in function: getIp@121-146","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 124:18-124:53"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-log-aop/src/main/java/com/xkcoding/log/aop/aspectj/AopLog.java","call function: 127:18-127:56","call in function: getIp@121-146","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 127:18-127:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-ratelimit-redis/src/main/java/com/xkcoding/ratelimit/redis/util/IpUtil.java","call function: 32:18-32:53","call in function: getIpAddr@28-58","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 32:18-32:53"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-ratelimit-redis/src/main/java/com/xkcoding/ratelimit/redis/util/IpUtil.java","call function: 34:22-34:57","call in function: getIpAddr@28-58","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 34:22-34:57"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-ratelimit-redis/src/main/java/com/xkcoding/ratelimit/redis/util/IpUtil.java","call function: 37:22-37:60","call in function: getIpAddr@28-58","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 37:22-37:60"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-ratelimit-redis/src/main/java/com/xkcoding/ratelimit/redis/util/IpUtil.java","call function: 40:22-40:56","call in function: getIpAddr@28-58","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 40:22-40:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot-demo/demo-ratelimit-redis/src/main/java/com/xkcoding/ratelimit/redis/util/IpUtil.java","call function: 43:22-43:62","call in function: getIpAddr@28-58","callee=javax.servlet.http.HttpServletRequest.getHeader","basic block: 43:22-43:62"
