"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-jpa-thymeleaf-curd/src/main/java/com/neo/web/HelloController.java","call function: 13:9-13:40","call in function: hello@12-15","callee=org.springframework.ui.Model.addAttribute","basic block: 13:9-13:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-jpa-thymeleaf-curd/src/main/java/com/neo/web/UserController.java","call function: 29:9-29:42","call in function: list@27-31","callee=org.springframework.ui.Model.addAttribute","basic block: 29:9-29:42"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-jpa-thymeleaf-curd/src/main/java/com/neo/web/UserController.java","call function: 47:9-47:40","call in function: toEdit@45-49","callee=org.springframework.ui.Model.addAttribute","basic block: 47:9-47:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-mail/src/test/java/com/neo/service/MailServiceTest.java","call function: 59:27-59:39","call in function: sendTemplateMail@57-64","callee=org.thymeleaf.context.Context.<init>","basic block: 59:27-59:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-mail/src/test/java/com/neo/service/MailServiceTest.java","call function: 61:31-61:78","call in function: sendTemplateMail@57-64","callee=org.thymeleaf.TemplateEngine.process","basic block: 61:31-61:78"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-shiro/src/main/java/com/neo/web/HomeController.java","call function: 23:37-23:77","call in function: login@19-44","callee=javax.servlet.ServletRequest.getAttribute","basic block: 23:37-23:77"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-thymeleaf/src/main/java/com/neo/thymeleaf/HelloController.java","call function: 12:9-12:40","call in function: hello@11-14","callee=org.springframework.ui.Model.addAttribute","basic block: 12:9-12:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-web/src/main/java/com/neo/WebConfiguration.java","call function: 48:48-48:70","call in function: doFilter@44-50","callee=javax.servlet.http.HttpServletRequest.getRequestURI","basic block: 48:48-48:70"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-web/src/main/java/com/neo/web/ThymeleafController.java","call function: 16:3-16:42","call in function: hello@15-24","callee=org.springframework.ui.Model.addAttribute","basic block: 16:3-16:42"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/1.x/spring-boot-web/src/main/java/com/neo/web/ThymeleafController.java","call function: 21:3-21:50","call in function: hello@15-24","callee=org.springframework.ui.Model.addAttribute","basic block: 21:3-21:50"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 17:9-17:49","call in function: string@16-19","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 17:9-17:49"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 23:9-23:39","call in function: ifunless@22-25","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 23:9-23:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 29:9-29:48","call in function: list@28-31","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 29:9-29:48"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 35:9-35:40","call in function: url@34-39","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 35:9-35:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 36:9-36:61","call in function: url@34-39","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 36:9-36:61"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 37:9-37:81","call in function: url@34-39","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 37:9-37:81"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 43:9-43:39","call in function: eq@42-47","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 43:9-43:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 44:9-44:35","call in function: eq@42-47","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 44:9-44:35"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 45:9-45:39","call in function: eq@42-47","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 45:9-45:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot-examples/2.x/spring-boot-thymeleaf/spring-boot-thymeleaf/src/main/java/com/neo/web/ExampleController.java","call function: 51:9-51:40","call in function: switchcase@50-53","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 51:9-51:40"
