"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/plugin/JavaPluginAction.java","call function: 365:25-365:78","call in function: test@365-365","callee=java.lang.String.startsWith","basic block: 365:25-365:78"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java","call function: 115:8-115:35","call in function: execute@113-119","callee=java.lang.String.startsWith","basic block: 115:8-115:35"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java","call function: 115:41-115:71","call in function: execute@113-119","callee=java.lang.String.equals","basic block: 115:41-115:71"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java","call function: 115:77-115:107","call in function: execute@113-119","callee=java.lang.String.endsWith","basic block: 115:77-115:107"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java","call function: 116:10-116:46","call in function: execute@113-119","callee=java.lang.String.startsWith","basic block: 116:10-116:46"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/BootJar.java","call function: 257:10-257:39","call in function: isLibrary@255-258","callee=java.lang.String.startsWith","basic block: 257:10-257:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/docs/PackagingDocumentationTests.java","call function: 195:23-195:65","call in function: test@195-195","callee=java.lang.String.startsWith","basic block: 195:23-195:65"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/docs/PackagingDocumentationTests.java","call function: 211:23-211:65","call in function: test@211-211","callee=java.lang.String.startsWith","basic block: 211:23-211:65"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/plugin/ApplicationPluginActionIntegrationTests.java","call function: 162:27-162:73","call in function: accept@160-168","callee=java.lang.String.startsWith","basic block: 162:27-162:73"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/plugin/ApplicationPluginActionIntegrationTests.java","call function: 179:8-179:39","call in function: taskConfigurationIsAvoided@172-189","callee=java.lang.String.startsWith","basic block: 179:8-179:39"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 167:23-167:51","call in function: test@167-167","callee=java.lang.String.startsWith","basic block: 167:23-167:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 172:23-172:55","call in function: test@172-172","callee=java.lang.String.startsWith","basic block: 172:23-172:55"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 186:23-186:51","call in function: test@186-186","callee=java.lang.String.startsWith","basic block: 186:23-186:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 202:23-202:51","call in function: test@202-202","callee=java.lang.String.startsWith","basic block: 202:23-202:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 220:23-220:51","call in function: test@220-220","callee=java.lang.String.startsWith","basic block: 220:23-220:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 225:23-225:55","call in function: test@225-225","callee=java.lang.String.startsWith","basic block: 225:23-225:55"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 239:23-239:51","call in function: test@239-239","callee=java.lang.String.startsWith","basic block: 239:23-239:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 258:23-258:51","call in function: test@258-258","callee=java.lang.String.startsWith","basic block: 258:23-258:51"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 572:23-572:55","call in function: test@572-572","callee=java.lang.String.startsWith","basic block: 572:23-572:55"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 363:4-363:32","call in function: implicitLayers@329-380","callee=java.lang.String.contains","basic block: 363:4-363:32"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 416:4-416:32","call in function: multiModuleImplicitLayers@385-434","callee=java.lang.String.contains","basic block: 416:4-416:32"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 465:4-465:32","call in function: customLayers@437-486","callee=java.lang.String.contains","basic block: 465:4-465:32"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 525:4-525:32","call in function: multiModuleCustomLayers@489-548","callee=java.lang.String.contains","basic block: 525:4-525:32"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 601:9-601:47","call in function: defaultDirAndFileModesAreUsed@590-612","callee=java.lang.String.startsWith","basic block: 601:9-601:47"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 631:9-631:47","call in function: dirModeAndFileModeAreApplied@615-642","callee=java.lang.String.startsWith","basic block: 631:9-631:47"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 744:9-744:29","call in function: readLayerIndex@737-754","callee=java.lang.String.startsWith","basic block: 744:9-744:29"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 747:14-747:36","call in function: readLayerIndex@737-754","callee=java.lang.String.startsWith","basic block: 747:14-747:36"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 793:8-793:29","call in function: isInIndex@791-798","callee=java.lang.String.equals","basic block: 793:8-793:29"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 793:34-793:56","call in function: isInIndex@791-798","callee=java.lang.String.endsWith","basic block: 793:34-793:56"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveIntegrationTests.java","call function: 793:61-793:86","call in function: isInIndex@791-798","callee=java.lang.String.startsWith","basic block: 793:61-793:86"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveTests.java","call function: 298:41-298:77","call in function: isSatisfiedBy@298-298","callee=java.lang.String.endsWith","basic block: 298:41-298:77"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveTests.java","call function: 368:9-368:44","call in function: archiveIsReproducibleByDefault@356-375","callee=java.lang.String.startsWith","basic block: 368:9-368:44"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveTests.java","call function: 389:9-389:40","call in function: archiveReproducibilityCanBeDisabled@378-396","callee=java.lang.String.endsWith","basic block: 389:9-389:40"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveTests.java","call function: 389:45-389:87","call in function: archiveReproducibilityCanBeDisabled@378-396","callee=java.lang.String.startsWith","basic block: 389:45-389:87"
"Path: /home/sixsquare/codeQL/projects/spring-boot/build-plugin/spring-boot-gradle-plugin/src/test/java/org/springframework/boot/gradle/tasks/bundling/AbstractBootArchiveTests.java","call function: 498:9-498:37","call in function: whenJarIsLayeredThenLayersIndexIsPresentAndCorrect@480-518","callee=java.lang.String.contains","basic block: 498:9-498:37"
