"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/src/main/java/com/alibaba/cloud/commons/io/FileUtils.java","call function: 55:7-55:19","call in function: openInputStream@54-67","callee=java.io.File.exists","basic block: 55:7-55:19"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/src/main/java/com/alibaba/cloud/commons/io/FileUtils.java","call function: 56:8-56:25","call in function: openInputStream@54-67","callee=java.io.File.isDirectory","basic block: 56:8-56:25"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/src/main/java/com/alibaba/cloud/commons/io/FileUtils.java","call function: 59:9-59:22","call in function: openInputStream@54-67","callee=java.io.File.canRead","basic block: 59:9-59:22"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-commons/src/main/java/com/alibaba/cloud/commons/io/FileUtils.java","call function: 66:10-66:34","call in function: openInputStream@54-67","callee=java.io.FileInputStream.<init>","basic block: 66:10-66:34"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/config/FileDataSourceProperties.java","call function: 85:6-86:25","call in function: preCheck@81-94","callee=java.io.File.getAbsolutePath","basic block: 85:6-86:25"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-alibaba-sentinel-datasource/src/main/java/com/alibaba/cloud/sentinel/datasource/factorybean/FileRefreshableDataSourceFactoryBean.java","call function: 48:40-48:53","call in function: getObject@47-50","callee=java.io.File.<init>","basic block: 48:40-48:53"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-seata/src/main/java/com/alibaba/cloud/seata/web/SeataHandlerInterceptor.java","call function: 46:19-46:56","call in function: preHandle@43-59","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 46:19-46:56"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-starters/spring-cloud-starter-alibaba-seata/src/main/java/com/alibaba/cloud/seata/web/SeataHandlerInterceptor.java","call function: 65:20-65:57","call in function: afterCompletion@62-83","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 65:20-65:57"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-tests/spring-cloud-alibaba-test-support/src/main/java/com/alibaba/cloud/testsupport/ContainerStarter.java","call function: 119:11-119:46","call in function: getAbsolutePath4BrokerConf@115-124","callee=java.io.File.getAbsolutePath","basic block: 119:11-119:46"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-tests/spring-cloud-alibaba-test-support/src/main/java/com/alibaba/cloud/testsupport/SpringCloudAlibabaExtension.java","call function: 87:53-87:61","call in function: apply@87-87","callee=java.io.File.<init>","basic block: 87:53-87:61"
"Path: /home/sixsquare/codeQL/projects/spring-cloud-alibaba/spring-cloud-alibaba-tests/spring-cloud-alibaba-test-support/src/main/java/com/alibaba/cloud/testsupport/SpringCloudAlibabaExtension.java","call function: 86:16-86:72","call in function: apply@86-86","callee=java.lang.ClassLoader.getResource","basic block: 86:16-86:72"
