"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-web/src/test/kotlin/org/springframework/web/client/RestOperationsExtensionsTests.kt","call function: 66:13-66:36","call in function: getForObject with reified type parameters and URI@65-70","callee=java.net.URI.<init>","basic block: 66:13-66:36"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-web/src/test/kotlin/org/springframework/web/client/RestOperationsExtensionsTests.kt","call function: 74:13-74:36","call in function: getForEntity with reified type parameters, String and URI@73-78","callee=java.net.URI.<init>","basic block: 74:13-74:36"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-web/src/test/kotlin/org/springframework/web/client/support/KotlinRestTemplateHttpServiceProxyTests.kt","call function: 68:22-68:35","call in function: initTestService@67-74","callee=org.springframework.web.client.RestTemplate.<init>","basic block: 68:22-68:35"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/main/kotlin/org/springframework/web/reactive/function/client/WebClientExtensions.kt","call function: 129:3-129:57","call in function: bodyToMono@128-129","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToMono","basic block: 129:3-129:57"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/main/kotlin/org/springframework/web/reactive/function/client/WebClientExtensions.kt","call function: 141:3-141:57","call in function: bodyToFlux@140-141","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToFlux","basic block: 141:3-141:57"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 89:12-89:87","call in function: invoke@89-89","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToMono","basic block: 89:12-89:87"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 95:12-95:87","call in function: invoke@95-95","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToFlux","basic block: 95:12-95:87"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 101:12-101:87","call in function: invoke@101-101","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToFlux","basic block: 101:12-101:87"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 250:6-256:12","call in function: invoke@247-259","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 250:6-256:12"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 248:35-248:43","call in function: invoke@247-259","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 248:35-248:43"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 283:6-289:12","call in function: invoke@275-292","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 283:6-289:12"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 276:35-276:43","call in function: invoke@275-292","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 276:35-276:43"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 315:5-321:11","call in function: ResponseSpec#toEntity with coroutine context propagation to multiple CoExchangeFilterFunctions@297-326","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 315:5-321:11"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 308:34-308:42","call in function: ResponseSpec#toEntity with coroutine context propagation to multiple CoExchangeFilterFunctions@297-326","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 308:34-308:42"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 339:6-345:12","call in function: invoke@336-348","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 339:6-345:12"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 337:33-337:41","call in function: invoke@336-348","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 337:33-337:41"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 363:6-369:12","call in function: invoke@360-372","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 363:6-369:12"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 361:33-361:41","call in function: invoke@360-372","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 361:33-361:41"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 388:6-394:12","call in function: invoke@385-397","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 388:6-394:12"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 386:33-386:41","call in function: invoke@385-397","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 386:33-386:41"
"Path: /home/sixsquare/codeQL/projects/spring-framework/spring-webflux/src/test/kotlin/org/springframework/web/reactive/function/client/WebClientExtensionsTests.kt","call function: 413:6-419:12","call in function: invoke@410-422","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 413:6-419:12"
