"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-3-spring-boot-web/src/main/java/demo/springboot/web/BookController.java","call function: 68:29-68:56","call in function: postBook@56-70","callee=org.springframework.web.util.UriComponentsBuilder.path","basic block: 68:29-68:56"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 35:9-35:59","call in function: getUserList@34-37","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 35:9-35:59"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 47:9-47:44","call in function: createUserForm@46-50","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 47:9-47:44"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 48:9-48:44","call in function: createUserForm@46-50","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 48:9-48:44"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 63:13-63:48","call in function: postUser@58-70","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 63:13-63:48"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 80:9-80:58","call in function: getUser@79-83","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 80:9-80:58"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 81:9-81:44","call in function: getUser@79-83","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 81:9-81:44"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/chapter-4-spring-boot-validating-form-input/src/main/java/spring/boot/core/web/UserController.java","call function: 95:13-95:48","call in function: putUser@90-101","callee=org.springframework.ui.ModelMap.addAttribute","basic block: 95:13-95:48"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-freemarker/src/main/java/org/spring/springboot/controller/CityController.java","call function: 25:9-25:64","call in function: findOneCity@24-27","callee=org.springframework.ui.Model.addAttribute","basic block: 25:9-25:64"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-freemarker/src/main/java/org/spring/springboot/controller/CityController.java","call function: 32:9-32:47","call in function: findAllCity@30-34","callee=org.springframework.ui.Model.addAttribute","basic block: 32:9-32:47"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-webflux-10-book-manage-sys/src/main/java/demo/springboot/web/CityController.java","call function: 34:9-34:61","call in function: getCityList@33-36","callee=org.springframework.ui.Model.addAttribute","basic block: 34:9-34:61"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-webflux-10-book-manage-sys/src/main/java/demo/springboot/web/CityController.java","call function: 40:9-40:46","call in function: createCityForm@39-43","callee=org.springframework.ui.Model.addAttribute","basic block: 40:9-40:46"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-webflux-10-book-manage-sys/src/main/java/demo/springboot/web/CityController.java","call function: 41:9-41:46","call in function: createCityForm@39-43","callee=org.springframework.ui.Model.addAttribute","basic block: 41:9-41:46"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-webflux-10-book-manage-sys/src/main/java/demo/springboot/web/CityController.java","call function: 54:9-54:40","call in function: getCity@52-57","callee=org.springframework.ui.Model.addAttribute","basic block: 54:9-54:40"
"Path: /home/sixsquare/codeQL/projects/springboot-learning-example/springboot-webflux-10-book-manage-sys/src/main/java/demo/springboot/web/CityController.java","call function: 55:9-55:46","call in function: getCity@52-57","callee=org.springframework.ui.Model.addAttribute","basic block: 55:9-55:46"
