"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 92:63-92:102","call in function: setupBootstrapIfNeeded@65-240","callee=java.io.File.getAbsolutePath","basic block: 92:63-92:102"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 162:44-162:66","call in function: run@120-238","callee=java.util.zip.ZipInputStream.getNextEntry","basic block: 162:44-162:66"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 163:33-163:50","call in function: run@120-238","callee=java.util.zip.ZipEntry.getName","basic block: 163:33-163:50"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 174:67-174:83","call in function: run@120-238","callee=java.io.File.<init>","basic block: 174:67-174:83"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 181:55-181:72","call in function: run@120-238","callee=java.util.zip.ZipEntry.getName","basic block: 181:55-181:72"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 182:51-182:104","call in function: run@120-238","callee=java.io.File.<init>","basic block: 182:51-182:104"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 192:71-192:102","call in function: run@120-238","callee=java.io.FileOutputStream.<init>","basic block: 192:71-192:102"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 200:50-200:77","call in function: run@120-238","callee=java.io.File.getAbsolutePath","basic block: 200:50-200:77"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 215:26-215:78","call in function: run@120-238","callee=java.io.File.renameTo","basic block: 215:26-215:78"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 289:67-289:94","call in function: run@284-370","callee=java.io.File.getAbsolutePath","basic block: 289:67-289:94"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 299:214-299:272","call in function: run@284-370","callee=java.io.File.getAbsolutePath","basic block: 299:214-299:272"
"Path: /home/sixsquare/codeQL/projects/termux-app/app/src/main/java/com/termux/app/TermuxInstaller.java","call function: 303:32-303:58","call in function: run@284-370","callee=java.io.File.getAbsolutePath","basic block: 303:32-303:58"
