"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/actors/ActorSystemContext.java","call function: 731:27-731:45","call in function: toString@729-733","callee=java.io.PrintWriter.<init>","basic block: 731:27-731:45"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/ImageController.java","call function: 111:27-111:52","call in function: uploadImage@102-131","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 111:27-111:52"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/ImageController.java","call function: 115:28-115:53","call in function: uploadImage@102-131","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 115:28-115:53"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/ImageController.java","call function: 145:27-145:52","call in function: updateImage@135-151","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 145:27-145:52"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/OAuth2Controller.java","call function: 94:52-94:76","call in function: getOAuth2Clients@80-106","callee=jakarta.servlet.http.HttpServletRequest.getHeader","basic block: 94:52-94:76"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/OtaPackageController.java","call function: 162:23-162:48","call in function: saveOtaPackageData@147-163","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 162:23-162:48"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/TbResourceController.java","call function: 250:67-250:92","call in function: uploadResource@238-269","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 250:67-250:92"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/TbResourceController.java","call function: 264:30-264:55","call in function: uploadResource@238-269","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 264:30-264:55"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/controller/TbResourceController.java","call function: 279:30-279:55","call in function: updateResourceData@273-282","callee=org.springframework.web.multipart.MultipartFile.getOriginalFilename","basic block: 279:30-279:55"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/service/edge/instructions/BaseEdgeInstallUpgradeInstructionsService.java","call function: 48:20-48:41","call in function: readFile@46-53","callee=java.nio.file.Files.readString","basic block: 48:20-48:41"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/service/edge/instructions/BaseEdgeInstallUpgradeInstructionsService.java","call function: 60:16-60:75","call in function: resolveFile@59-61","callee=java.nio.file.Path.resolve","basic block: 60:16-60:75"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/service/edge/instructions/BaseEdgeInstallUpgradeInstructionsService.java","call function: 60:49-60:74","call in function: resolveFile@59-61","callee=java.nio.file.Paths.get","basic block: 60:49-60:74"
"Path: /home/sixsquare/codeQL/projects/thingsboard/application/src/main/java/org/thingsboard/server/service/edge/instructions/BaseEdgeInstallUpgradeInstructionsService.java","call function: 64:16-64:124","call in function: getEdgeInstructionsDir@63-65","callee=java.nio.file.Paths.get","basic block: 64:16-64:124"
