"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 51:30-51:46","call in function: main@49-96","callee=java.io.File.<init>","basic block: 51:30-51:46"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 56:41-56:94","call in function: main@49-96","callee=java.io.File.<init>","basic block: 56:41-56:94"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 79:27-79:91","call in function: main@49-96","callee=java.io.File.<init>","basic block: 79:27-79:91"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 58:13-58:45","call in function: main@49-96","callee=java.io.File.exists","basic block: 58:13-58:45"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 61:55-61:99","call in function: main@49-96","callee=java.io.FileInputStream.<init>","basic block: 61:55-61:99"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 80:14-80:48","call in function: main@49-96","callee=java.io.File.exists","basic block: 80:14-80:48"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 81:18-81:52","call in function: main@49-96","callee=java.io.File.mkdirs","basic block: 81:18-81:52"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/mailserver/.mvn/wrapper/MavenWrapperDownloader.java","call function: 112:32-112:64","call in function: downloadFileFromURL@98-116","callee=java.io.FileOutputStream.<init>","basic block: 112:32-112:64"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-service/src/main/java/org/javaboy/vhr/service/EmployeeService.java","call function: 64:28-64:44","call in function: addEmp@55-76","callee=java.util.UUID.randomUUID","basic block: 64:28-64:44"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 27:26-27:37","call in function: <obinit>@21-21","callee=java.util.Random.<init>","basic block: 27:26-27:37"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 37:13-37:31","call in function: randomColor@36-41","callee=java.util.Random.nextInt","basic block: 37:13-37:31"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 38:15-38:33","call in function: randomColor@36-41","callee=java.util.Random.nextInt","basic block: 38:15-38:33"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 39:14-39:32","call in function: randomColor@36-41","callee=java.util.Random.nextInt","basic block: 39:14-39:32"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 49:27-49:58","call in function: randomFont@48-53","callee=java.util.Random.nextInt","basic block: 49:27-49:58"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 50:15-50:31","call in function: randomFont@48-53","callee=java.util.Random.nextInt","basic block: 50:15-50:31"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 51:14-51:30","call in function: randomFont@48-53","callee=java.util.Random.nextInt","basic block: 51:14-51:30"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 61:23-61:52","call in function: randomChar@60-62","callee=java.util.Random.nextInt","basic block: 61:23-61:52"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 103:13-103:33","call in function: drawLine@99-111","callee=java.util.Random.nextInt","basic block: 103:13-103:33"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 104:13-104:34","call in function: drawLine@99-111","callee=java.util.Random.nextInt","basic block: 104:13-104:34"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 105:13-105:33","call in function: drawLine@99-111","callee=java.util.Random.nextInt","basic block: 105:13-105:33"
"Path: /home/sixsquare/codeQL/projects/vhr/vhr/vhrserver/vhr-web/src/main/java/org/javaboy/vhr/config/VerificationCode.java","call function: 106:13-106:34","call in function: drawLine@99-111","callee=java.util.Random.nextInt","basic block: 106:13-106:34"
