"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/jobhandler/SampleXxlJob.java","call function: 100:45-100:64","call in function: commandJobHandler@84-133","callee=java.lang.ProcessBuilder.<init>","basic block: 100:45-100:64"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/jobhandler/SampleXxlJob.java","call function: 104:31-104:52","call in function: commandJobHandler@84-133","callee=java.lang.ProcessBuilder.start","basic block: 104:31-104:52"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/jobhandler/SampleXxlJob.java","call function: 101:13-101:48","call in function: commandJobHandler@84-133","callee=java.lang.ProcessBuilder.command","basic block: 101:13-101:48"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-springboot/src/main/java/com/xxl/job/executor/jobhandler/SampleXxlJob.java","call function: 102:13-102:52","call in function: commandJobHandler@84-133","callee=java.lang.ProcessBuilder.redirectErrorStream","basic block: 102:13-102:52"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java","call function: 98:45-98:64","call in function: commandJobHandler@82-131","callee=java.lang.ProcessBuilder.<init>","basic block: 98:45-98:64"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java","call function: 102:31-102:52","call in function: commandJobHandler@82-131","callee=java.lang.ProcessBuilder.start","basic block: 102:31-102:52"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java","call function: 99:13-99:48","call in function: commandJobHandler@82-131","callee=java.lang.ProcessBuilder.command","basic block: 99:13-99:48"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-executor-samples/xxl-job-executor-sample-frameless/src/main/java/com/xxl/job/executor/sample/frameless/jobhandler/SampleXxlJob.java","call function: 100:13-100:52","call in function: commandJobHandler@82-131","callee=java.lang.ProcessBuilder.redirectErrorStream","basic block: 100:13-100:52"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-core/src/main/java/com/xxl/job/core/util/ScriptUtil.java","call function: 80:23-80:62","call in function: execToFile@58-136","callee=java.lang.Runtime.exec","basic block: 80:23-80:62"
"Path: /home/sixsquare/codeQL/projects/xxl-job/xxl-job-core/src/main/java/com/xxl/job/core/util/ScriptUtil.java","call function: 80:23-80:42","call in function: execToFile@58-136","callee=java.lang.Runtime.getRuntime","basic block: 80:23-80:42"
