"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/grey/GrayReactiveLoadBalancerClientFilter.java","call function: 70:28-70:47","call in function: filter@55-116","callee=java.net.URI.getHost","basic block: 70:28-70:47"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/grey/GrayReactiveLoadBalancerClientFilter.java","call function: 59:46-59:60","call in function: filter@55-116","callee=java.net.URI.getScheme","basic block: 59:46-59:60"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/grey/GrayReactiveLoadBalancerClientFilter.java","call function: 81:112-81:124","call in function: accept@76-106","callee=java.net.URI.getHost","basic block: 81:112-81:124"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/grey/GrayReactiveLoadBalancerClientFilter.java","call function: 92:42-92:56","call in function: accept@76-106","callee=java.net.URI.getScheme","basic block: 92:42-92:56"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/logging/AccessLogFilter.java","call function: 116:30-116:57","call in function: filter@110-131","callee=java.net.URI.getScheme","basic block: 116:30-116:57"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/security/TokenAuthenticationFilter.java","call function: 80:26-80:71","call in function: TokenAuthenticationFilter@75-81","callee=org.springframework.web.reactive.function.client.WebClient$Builder.build","basic block: 80:26-80:71"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/security/TokenAuthenticationFilter.java","call function: 80:26-80:44","call in function: TokenAuthenticationFilter@75-81","callee=org.springframework.web.reactive.function.client.WebClient.builder","basic block: 80:26-80:44"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-gateway/src/main/java/cn/iocoder/yudao/gateway/filter/security/TokenAuthenticationFilter.java","call function: 135:16-138:52","call in function: checkAccessToken@134-139","callee=org.springframework.web.reactive.function.client.WebClient$ResponseSpec.bodyToMono","basic block: 135:16-138:52"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-bpm/yudao-module-bpm-server/src/main/java/cn/iocoder/yudao/module/bpm/framework/flowable/core/util/BpmHttpRequestUtils.java","call function: 122:30-122:101","call in function: sendHttpRequest@115-129","callee=org.springframework.web.client.RestTemplate.exchange","basic block: 122:30-122:101"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-infra/yudao-module-infra-server/src/main/java/cn/iocoder/yudao/module/infra/framework/file/core/client/s3/S3FileClient.java","call function: 55:24-55:50","call in function: doInit@44-72","callee=java.net.URI.create","basic block: 55:24-55:50"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-infra/yudao-module-infra-server/src/main/java/cn/iocoder/yudao/module/infra/framework/file/core/client/s3/S3FileClient.java","call function: 186:24-186:53","call in function: resolveRegion@170-231","callee=java.net.URI.getHost","basic block: 186:24-186:53"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-infra/yudao-module-infra-server/src/main/java/cn/iocoder/yudao/module/infra/framework/file/core/client/s3/S3FileClient.java","call function: 186:24-186:43","call in function: resolveRegion@170-231","callee=java.net.URI.create","basic block: 186:24-186:43"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-mall/yudao-module-trade-server/src/main/java/cn/iocoder/yudao/module/trade/framework/delivery/core/client/impl/kd100/Kd100ExpressClient.java","call function: 93:49-93:120","call in function: httpRequest@78-100","callee=org.springframework.web.client.RestTemplate.exchange","basic block: 93:49-93:120"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-mall/yudao-module-trade-server/src/main/java/cn/iocoder/yudao/module/trade/framework/delivery/core/client/impl/kdniao/KdNiaoExpressClient.java","call function: 105:49-105:120","call in function: httpRequest@88-112","callee=org.springframework.web.client.RestTemplate.exchange","basic block: 105:49-105:120"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-framework/yudao-common/src/main/java/cn/iocoder/yudao/framework/common/util/http/HttpUtils.java","call function: 98:83-98:103","call in function: append@86-135","callee=java.net.URI.getHost","basic block: 98:83-98:103"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-framework/yudao-common/src/main/java/cn/iocoder/yudao/framework/common/util/http/HttpUtils.java","call function: 98:55-98:75","call in function: append@86-135","callee=java.net.URI.getPort","basic block: 98:55-98:75"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-framework/yudao-common/src/main/java/cn/iocoder/yudao/framework/common/util/http/HttpUtils.java","call function: 98:25-98:47","call in function: append@86-135","callee=java.net.URI.getScheme","basic block: 98:25-98:47"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-gateway/src/main/java/cn/iocoder/yudao/module/iot/gateway/service/device/remote/IotDeviceApiImpl.java","call function: 63:56-64:70","call in function: doPost@58-73","callee=org.springframework.web.client.RestTemplate.exchange","basic block: 63:56-64:70"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/IotHttpDataSinkAction.java","call function: 78:30-78:92","call in function: execute@42-90","callee=org.springframework.web.client.RestTemplate.exchange","basic block: 78:30-78:92"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 65:72-65:100","call in function: connect@56-88","callee=javax.net.ssl.SSLSocketFactory.getDefault","basic block: 65:72-65:100"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 66:26-66:56","call in function: connect@56-88","callee=javax.net.SocketFactory.createSocket","basic block: 66:26-66:56"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 69:26-69:37","call in function: connect@56-88","callee=java.net.Socket.<init>","basic block: 69:26-69:37"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 73:13-73:79","call in function: connect@56-88","callee=java.net.Socket.connect","basic block: 73:13-73:79"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 77:28-77:51","call in function: connect@56-88","callee=java.net.Socket.getOutputStream","basic block: 77:28-77:51"
"Path: /home/sixsquare/codeQL/projects/yudao-cloud/yudao-module-iot/yudao-module-iot-server/src/main/java/cn/iocoder/yudao/module/iot/service/rule/data/action/tcp/IotTcpClient.java","call function: 78:63-78:85","call in function: connect@56-88","callee=java.net.Socket.getInputStream","basic block: 78:63-78:85"
