"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin/src/main/java/zipkin2/Endpoint.java","call function: 155:16-155:36","call in function: parseIp@152-167","callee=java.net.InetAddress.getHostAddress","basic block: 155:16-155:36"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/InitialEndpointSupplier.java","call function: 46:21-46:33","call in function: get@32-74","callee=java.net.URI.getHost","basic block: 46:21-46:33"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/InitialEndpointSupplier.java","call function: 39:15-39:34","call in function: get@32-74","callee=java.net.URI.create","basic block: 39:15-39:34"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/InitialEndpointSupplier.java","call function: 41:15-41:80","call in function: get@32-74","callee=java.net.URI.create","basic block: 41:15-41:80"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/InitialEndpointSupplier.java","call function: 43:15-43:70","call in function: get@32-74","callee=java.net.URI.create","basic block: 43:15-43:70"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/InitialEndpointSupplier.java","call function: 77:16-77:28","call in function: getPort@76-79","callee=java.net.URI.getPort","basic block: 77:16-77:28"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/elasticsearch/SslUtil.java","call function: 43:16-43:31","call in function: loadKeyStore@39-45","callee=java.net.URL.openStream","basic block: 43:16-43:31"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/eureka/ZipkinEurekaDiscoveryProperties.java","call function: 67:14-68:41","call in function: stripBaseUrl@65-72","callee=java.net.URI.<init>","basic block: 67:14-68:41"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/eureka/ZipkinEurekaDiscoveryProperties.java","call function: 67:22-67:43","call in function: stripBaseUrl@65-72","callee=java.net.URI.getScheme","basic block: 67:22-67:43"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/eureka/ZipkinEurekaDiscoveryProperties.java","call function: 67:52-67:71","call in function: stripBaseUrl@65-72","callee=java.net.URI.getHost","basic block: 67:52-67:71"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/eureka/ZipkinEurekaDiscoveryProperties.java","call function: 67:74-67:93","call in function: stripBaseUrl@65-72","callee=java.net.URI.getPort","basic block: 67:74-67:93"
"Path: /home/sixsquare/codeQL/projects/zipkin/zipkin-server/src/main/java/zipkin2/server/internal/rabbitmq/ZipkinRabbitMQCollectorProperties.java","call function: 19:32-19:45","call in function: <clinit>@18-18","callee=java.net.URI.create","basic block: 19:32-19:45"
