"col0","col1","col2","col3","col4"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineEncoder.java","call function: 51:9-51:68","call in function: main@40-63","callee=java.lang.String.equals","basic block: 51:9-51:68"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineRunner.java","call function: 142:14-142:63","call in function: retainValid@135-152","callee=java.lang.String.startsWith","basic block: 142:14-142:63"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/CommandLineRunner.java","call function: 164:12-164:41","call in function: isFileOrDir@163-165","callee=java.lang.String.equals","basic block: 164:12-164:41"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/DecodeWorker.java","call function: 90:9-90:40","call in function: buildOutputPath@87-114","callee=java.lang.String.equals","basic block: 90:9-90:40"
"Path: /home/sixsquare/codeQL/projects/zxing/zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/CalendarEventGenerator.java","call function: 204:9-204:32","call in function: getEventNameField@199-208","callee=java.lang.String.contains","basic block: 204:9-204:32"
"Path: /home/sixsquare/codeQL/projects/zxing/zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/CalendarEventGenerator.java","call function: 222:9-222:37","call in function: getLocationField@217-227","callee=java.lang.String.contains","basic block: 222:9-222:37"
"Path: /home/sixsquare/codeQL/projects/zxing/zxing.appspot.com/src/main/java/com/google/zxing/web/generator/client/CalendarEventGenerator.java","call function: 234:9-234:40","call in function: getDescriptionField@229-239","callee=java.lang.String.contains","basic block: 234:9-234:40"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/HtmlAssetTranslator.java","call function: 91:9-91:33","call in function: parseLanguagesToTranslate@89-107","callee=java.lang.String.equals","basic block: 91:9-91:33"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/HtmlAssetTranslator.java","call function: 96:13-96:40","call in function: accept@93-97","callee=java.lang.String.startsWith","basic block: 96:13-96:40"
"Path: /home/sixsquare/codeQL/projects/zxing/javase/src/main/java/com/google/zxing/client/j2se/HtmlAssetTranslator.java","call function: 96:46-96:71","call in function: accept@93-97","callee=java.lang.String.equals","basic block: 96:46-96:71"
