"col0","col1","col2","col3","col4"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/compat/__init__.py","call function: 37:20-37:43","call in function: compat_expanduser@34-44","callee=os.path.expanduser","basic block: 37:20-37:43"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/compat/__init__.py","call function: 43:20-43:65","call in function: compat_expanduser@34-44","callee=os.path.join","basic block: 43:20-43:65"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/compat/__init__.py","call function: 43:33-43:53","call in function: compat_expanduser@34-44","callee=os.path.dirname","basic block: 43:20-43:65"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/__pyinstaller/__init__.py","call function: 5:13-5:37","call in function: get_hook_dirs@4-5","callee=os.path.dirname","basic block: 5:13-5:38"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/__init__.py","call function: 86:22-86:84","call in function: get_urls@77-94","callee=open","basic block: 86:60-86:84"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/__init__.py","call function: 1088:59-1088:88","call in function: _real_main@989-1110","callee=os.path.basename","basic block: 1088:59-1088:107"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/__init__.py","call function: 1125:19-1125:50","call in function: main@1113-1129","callee=os.open","basic block: 1123:5-1127:30"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 1180:16-1183:27","call in function: get_output_path@1177-1184","callee=os.path.join","basic block: 1180:16-1184:77"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 1509:18-1509:40","call in function: prepare_filename@1495-1514","callee=os.path.isabs","basic block: 1509:18-1509:40"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 2214:25-2214:98","call in function: _check_formats@2203-2240","callee=tempfile.NamedTemporaryFile","basic block: 2214:82-2220:36"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 2224:20-2224:49","call in function: _check_formats@2203-2240","callee=os.path.exists","basic block: 2224:20-2224:49"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 2226:25-2226:49","call in function: _check_formats@2203-2240","callee=os.remove","basic block: 2226:25-2226:49"
"path: /home/sixsquare/codeQL/projects/yt-dlp/yt_dlp/YoutubeDL.py","call function: 3185:22-3185:70","call in function: _forceprint@3150-3188","callee=open","basic block: 3185:22-3186:80"
