rank,full_name,stargazers_count,clone_url,html_url,language,description
1,tensorflow/tensorflow,191352,https://github.com/tensorflow/tensorflow.git,https://github.com/tensorflow/tensorflow,C++,An Open Source Machine Learning Framework for Everyone
2,facebook/react-native,123550,https://github.com/facebook/react-native.git,https://github.com/facebook/react-native,C++,A framework for building native applications using React
3,electron/electron,118051,https://github.com/electron/electron.git,https://github.com/electron/electron,C++,":electron: Build cross-platform desktop apps with JavaScript, HTML, and CSS"
4,godotengine/godot,100617,https://github.com/godotengine/godot.git,https://github.com/godotengine/godot,C++,Godot Engine – Multi-platform 2D and 3D game engine
5,microsoft/terminal,99334,https://github.com/microsoft/terminal.git,https://github.com/microsoft/terminal,C++,"The new Windows Terminal and the original Windows console host, all in the same place!"
6,ggml-org/llama.cpp,85578,https://github.com/ggml-org/llama.cpp.git,https://github.com/ggml-org/llama.cpp,C++,LLM inference in C/C++
7,bitcoin/bitcoin,85218,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin,C++,Bitcoin Core integration/staging tree
8,opencv/opencv,83700,https://github.com/opencv/opencv.git,https://github.com/opencv/opencv,C++,Open Source Computer Vision Library
9,nomic-ai/gpt4all,76557,https://github.com/nomic-ai/gpt4all.git,https://github.com/nomic-ai/gpt4all,C++,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
10,tesseract-ocr/tesseract,69089,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract,C++,Tesseract Open Source OCR Engine (main repository)
11,swiftlang/swift,68987,https://github.com/swiftlang/swift.git,https://github.com/swiftlang/swift,C++,The Swift Programming Language
12,protocolbuffers/protobuf,68893,https://github.com/protocolbuffers/protobuf.git,https://github.com/protocolbuffers/protobuf,C++,Protocol Buffers - Google's data interchange format
13,ocornut/imgui,67826,https://github.com/ocornut/imgui.git,https://github.com/ocornut/imgui,C++,Dear ImGui: Bloat-free Graphical User interface for C++ with minimal dependencies
14,WerWolv/ImHex,50251,https://github.com/WerWolv/ImHex.git,https://github.com/WerWolv/ImHex,C++,"🔍 A Hex Editor for Reverse Engineers, Programmers and people who value their retinas when working at 3 AM."
15,LadybirdBrowser/ladybird,47005,https://github.com/LadybirdBrowser/ladybird.git,https://github.com/LadybirdBrowser/ladybird,C++,Truly independent web browser
16,nlohmann/json,46989,https://github.com/nlohmann/json.git,https://github.com/nlohmann/json,C++,JSON for Modern C++
17,x64dbg/x64dbg,46769,https://github.com/x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg,C++,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.
