rank_seen,full_name,stargazers_count,clone_url,html_url,language,description,cmake_indicator
7,bitcoin/bitcoin,86538,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin,cpp,Bitcoin Core integration/staging tree,targets
10,tesseract-ocr/tesseract,70616,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract,cpp,Tesseract Open Source OCR Engine (main repository),targets
11,protocolbuffers/protobuf,69491,https://github.com/protocolbuffers/protobuf.git,https://github.com/protocolbuffers/protobuf,cpp,Protocol Buffers - Google's data interchange format,targets
16,nlohmann/json,47725,https://github.com/nlohmann/json.git,https://github.com/nlohmann/json,cpp,JSON for Modern C++,targets
17,x64dbg/x64dbg,47134,https://github.com/x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg,cpp,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,targets
18,ggml-org/whisper.cpp,44145,https://github.com/ggml-org/whisper.cpp.git,https://github.com/ggml-org/whisper.cpp,cpp,Port of OpenAI's Whisper model in C/C++,targets
20,ClickHouse/ClickHouse,43696,https://github.com/ClickHouse/ClickHouse.git,https://github.com/ClickHouse/ClickHouse,cpp,ClickHouse® is a real-time analytics database management system,targets
24,google/leveldb,38286,https://github.com/google/leveldb.git,https://github.com/google/leveldb,cpp,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,targets
31,duckdb/duckdb,33825,https://github.com/duckdb/duckdb.git,https://github.com/duckdb/duckdb,cpp,DuckDB is an analytical in-process SQL database management system,targets
36,SerenityOS/serenity,32532,https://github.com/SerenityOS/serenity.git,https://github.com/SerenityOS/serenity,cpp,The Serenity Operating System 🐞,targets
38,hyprwm/Hyprland,31637,https://github.com/hyprwm/Hyprland.git,https://github.com/hyprwm/Hyprland,cpp,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",targets
39,facebook/rocksdb,30892,https://github.com/facebook/rocksdb.git,https://github.com/facebook/rocksdb,cpp,"A library that provides an embeddable, persistent key-value store for fast storage.",targets
43,facebook/folly,30001,https://github.com/facebook/folly.git,https://github.com/facebook/folly,cpp,An open-source C++ library developed and used at Facebook.,targets
46,flameshot-org/flameshot,28111,https://github.com/flameshot-org/flameshot.git,https://github.com/flameshot-org/flameshot,cpp,Powerful yet simple to use screenshot software :desktop_computer: :camera_flash:,targets
49,aristocratos/btop,27729,https://github.com/aristocratos/btop.git,https://github.com/aristocratos/btop,cpp,A monitor of resources,targets
52,gabime/spdlog,27562,https://github.com/gabime/spdlog.git,https://github.com/gabime/spdlog,cpp,Fast C++ logging library.,targets
53,dmlc/xgboost,27553,https://github.com/dmlc/xgboost.git,https://github.com/dmlc/xgboost,cpp,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",targets
57,shadps4-emu/shadPS4,26857,https://github.com/shadps4-emu/shadPS4.git,https://github.com/shadps4-emu/shadPS4,cpp,"PlayStation 4 emulator for Windows, Linux and macOS written in C++",targets
66,google/flatbuffers,24941,https://github.com/google/flatbuffers.git,https://github.com/google/flatbuffers,cpp,FlatBuffers: Memory Efficient Serialization Library,targets
67,typesense/typesense,24615,https://github.com/typesense/typesense.git,https://github.com/typesense/typesense,cpp,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",targets
73,sqlitebrowser/sqlitebrowser,23136,https://github.com/sqlitebrowser/sqlitebrowser.git,https://github.com/sqlitebrowser/sqlitebrowser,cpp,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: ",targets
74,osquery/osquery,22839,https://github.com/osquery/osquery.git,https://github.com/osquery/osquery,cpp,"SQL powered operating system instrumentation, monitoring, and analytics.",targets
75,fmtlib/fmt,22769,https://github.com/fmtlib/fmt.git,https://github.com/fmtlib/fmt,cpp,A modern formatting library,targets
76,ssloy/tinyrenderer,22735,https://github.com/ssloy/tinyrenderer.git,https://github.com/ssloy/tinyrenderer,cpp,A brief computer graphics / rendering course,targets
77,simdjson/simdjson,22646,https://github.com/simdjson/simdjson.git,https://github.com/simdjson/simdjson,cpp,"Parsing gigabytes of JSON per second : used by Facebook/Meta Velox, the Node.js runtime, ClickHouse, WatermelonDB, Apache Doris, Milvus, StarRocks",targets
78,ml-explore/mlx,22633,https://github.com/ml-explore/mlx.git,https://github.com/ml-explore/mlx,cpp,MLX: An array framework for Apple silicon,targets
79,Tencent/ncnn,22213,https://github.com/Tencent/ncnn.git,https://github.com/Tencent/ncnn,cpp,ncnn is a high-performance neural network inference framework optimized for the mobile platform,targets
85,xbmc/xbmc,19979,https://github.com/xbmc/xbmc.git,https://github.com/xbmc/xbmc,cpp,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",targets
87,trojan-gfw/trojan,19489,https://github.com/trojan-gfw/trojan.git,https://github.com/trojan-gfw/trojan,cpp,An unidentifiable mechanism that helps you bypass GFW.,targets
92,swoole/swoole-src,18772,https://github.com/swoole/swoole-src.git,https://github.com/swoole/swoole-src,cpp,🚀 Coroutine-based concurrency library for PHP,targets
96,MaaAssistantArknights/MaaAssistantArknights,18463,https://github.com/MaaAssistantArknights/MaaAssistantArknights.git,https://github.com/MaaAssistantArknights/MaaAssistantArknights,cpp,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",targets
103,SFML/SFML,11401,https://github.com/SFML/SFML.git,https://github.com/SFML/SFML,cpp,Simple and Fast Multimedia Library,targets
104,manticoresoftware/manticoresearch,11381,https://github.com/manticoresoftware/manticoresearch.git,https://github.com/manticoresoftware/manticoresearch,cpp,Easy to use open source fast database for search | Good alternative to Elasticsearch now | Drop-in replacement for E in the ELK stack,targets
105,taskflow/taskflow,11346,https://github.com/taskflow/taskflow.git,https://github.com/taskflow/taskflow,cpp,A General-purpose Task-parallel Programming System using Modern C++,targets
109,SoftFever/OrcaSlicer,11294,https://github.com/SoftFever/OrcaSlicer.git,https://github.com/SoftFever/OrcaSlicer,cpp,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",targets
112,google-deepmind/mujoco,10981,https://github.com/google-deepmind/mujoco.git,https://github.com/google-deepmind/mujoco,cpp,Multi-Joint dynamics with Contact. A general purpose physics simulator.,targets
114,apache/thrift,10814,https://github.com/apache/thrift.git,https://github.com/apache/thrift,cpp,Apache Thrift,targets
118,zeromq/libzmq,10588,https://github.com/zeromq/libzmq.git,https://github.com/zeromq/libzmq,cpp,"ZeroMQ core engine in C++, implements ZMTP/3.1",targets
