rank,full_name,stargazers_count,clone_url,html_url,language,description
1,Snailclimb/JavaGuide,151427,https://github.com/Snailclimb/JavaGuide.git,https://github.com/Snailclimb/JavaGuide,Java,「Java学习+面试指南」一份涵盖大部分 Java 程序员所需要掌握的核心知识。准备 Java 面试，首选 JavaGuide！
2,krahets/hello-algo,115793,https://github.com/krahets/hello-algo.git,https://github.com/krahets/hello-algo,Java,"《Hello 算法》：动画图解、一键运行的数据结构与算法教程。支持 Python, Java, C++, C, C#, JS, Go, Swift, Rust, Ruby, Kotlin, TS, Dart 代码。简体版和繁体版同步更新，English version in translation"
3,GrowingGit/GitHub-Chinese-Top-Charts,101567,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts.git,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,Java,:cn: GitHub中文排行榜，各语言分设「软件 | 资料」榜单，精准定位中文好项目。各取所需，高效学习。
4,iluwatar/java-design-patterns,92575,https://github.com/iluwatar/java-design-patterns.git,https://github.com/iluwatar/java-design-patterns,Java,Design patterns implemented in Java
5,macrozheng/mall,81395,https://github.com/macrozheng/mall.git,https://github.com/macrozheng/mall,Java,mall项目是一套电商系统，包括前台商城系统及后台管理系统，基于Spring Boot+MyBatis实现，采用Docker容器化部署。 前台商城系统包含首页门户、商品推荐、商品搜索、商品展示、购物车、订单流程、会员中心、客户服务、帮助中心等模块。 后台管理系统包含商品管理、订单管理、会员管理、促销管理、运营管理、内容管理、统计报表、财务管理、权限管理、设置等模块。
6,spring-projects/spring-boot,78223,https://github.com/spring-projects/spring-boot.git,https://github.com/spring-projects/spring-boot,Java,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss."
7,doocs/advanced-java,78153,https://github.com/doocs/advanced-java.git,https://github.com/doocs/advanced-java,Java,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识
8,MisterBooo/LeetCodeAnimation,76408,https://github.com/MisterBooo/LeetCodeAnimation.git,https://github.com/MisterBooo/LeetCodeAnimation,Java,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）
9,elastic/elasticsearch,73642,https://github.com/elastic/elasticsearch.git,https://github.com/elastic/elasticsearch,Java,"Free and Open Source, Distributed, RESTful Search Engine"
10,Stirling-Tools/Stirling-PDF,64670,https://github.com/Stirling-Tools/Stirling-PDF.git,https://github.com/Stirling-Tools/Stirling-PDF,Java,#1 Locally hosted web application that allows you to perform various operations on PDF files
